KD,#1 Ally,Top 300 Power,Top 300 Merits,M/P,Top 300 Kills,Top 300 Deads,Top 300 Heals,CH25,CH25 AP,10M,20M,30M,40M,50M,80M+,100M+,125M+,150M+,200M+,250M+,300M+
164,V2BE,"10,447,071,133","1,330,499,389",12.74%,"37,914,967,524","225,398,700","35,493,382,264",93,"110,711,236",57,25,5,3,2,80,66,31,4,1,0,0
165,BR-C,"6,343,001,065","237,293,584",3.74%,"11,004,486,858","65,932,692","12,715,844,136",81,"75,403,596",9,2,0,0,0,32,17,6,4,1,0,0
166,FBI-,"1,452,758,748","13,312,264",0.92%,"854,615,041","10,481,779","2,000,683,793",24,"54,004,694",0,0,0,0,0,1,1,1,0,0,0,0
167,,"392,741,167","24,439,107",6.22%,"582,889,976","10,776,285","907,960,256",7,"50,707,432",1,0,0,0,0,1,1,0,0,0,0,0
168,-RC-,"9,099,588,421","1,024,857,772",11.26%,"27,224,100,480","162,170,031","28,502,301,252",101,"89,513,255",46,14,1,0,0,67,39,6,1,1,0,0
169,COTC,"6,679,630,963","540,361,330",8.09%,"7,801,893,946","71,387,899","13,510,811,305",107,"58,148,691",21,6,2,0,0,23,9,1,0,0,0,0
170,Z-PG,"9,107,309,073","1,010,039,090",11.09%,"25,495,187,330","148,843,974","31,731,473,901",124,"75,512,232",35,11,5,2,1,65,40,6,1,0,0,0
171,,"1,254,753,680","5,817,462",0.46%,"1,197,688,753","12,081,940","2,009,182,834",21,"50,996,953",0,0,0,0,0,1,1,0,0,0,0,0
172,OPB,"9,293,255,651","2,252,740,867",24.24%,"46,137,008,673","175,253,513","33,235,477,670",85,"110,108,801",68,52,35,21,10,68,62,38,12,2,1,0
173,,"679,318,567","12,362,305",1.82%,"1,017,072,240","7,750,169","1,495,760,400",10,"62,198,197",0,0,0,0,0,2,0,0,0,0,0,0
174,S2AK,"11,115,194,032","1,812,784,250",16.31%,"49,160,703,678","267,264,781","43,962,084,848",139,"84,575,915",74,36,12,8,5,78,59,35,19,7,3,2
175,CAT~,"2,468,779,427","199,629,474",8.09%,"3,391,069,840","40,500,216","4,438,161,525",43,"52,176,151",5,2,2,1,0,4,2,1,0,0,0,0
176,EIS,"1,564,905,917","33,894,992",2.17%,"6,150,115,423","34,442,659","5,236,567,708",17,"88,085,999",1,0,0,0,0,10,10,7,5,0,0,0
177,177-,"1,983,652,082","30,662,183",1.55%,"1,260,550,864","24,041,066","2,940,925,195",34,"52,203,433",1,0,0,0,0,3,0,0,0,0,0,0
178,-IMG,"12,880,715,441","1,090,572,836",8.47%,"23,504,666,326","191,646,717","35,052,536,321",166,"73,923,078",32,7,2,2,1,68,27,7,0,0,0,0
179,0F!,"6,072,425,174","899,503,053",14.81%,"16,082,246,679","105,646,797","18,994,211,290",77,"77,323,462",37,12,5,1,0,34,22,2,0,0,0,0
180,~CS,"10,070,716,049","710,159,114",7.05%,"15,662,748,371","118,520,245","23,023,377,559",138,"69,024,205",22,5,3,2,1,46,28,7,0,0,0,0
181,INK~,"15,404,413,895","2,885,968,002",18.73%,"77,895,446,102","361,271,074","59,556,220,822",122,"127,652,293",93,71,40,18,11,97,86,68,42,14,5,2
182,~HP,"1,385,217,612","21,093,595",1.52%,"3,012,816,749","14,724,202","2,629,042,009",20,"60,962,473",0,0,0,0,0,5,5,1,0,0,0,0
183,A2G!,"2,098,998,667","171,890,283",8.19%,"7,020,412,526","28,060,067","5,927,808,219",25,"81,971,367",6,3,2,1,0,14,10,3,2,0,0,0
184,SHP-,"10,184,535,463","479,948,030",4.71%,"20,394,846,576","194,538,846","28,684,647,092",133,"73,879,429",6,0,0,0,0,53,20,1,0,0,0,0
185,TGV,"10,479,898,145","487,469,729",4.65%,"9,460,028,496","135,265,479","20,571,409,362",155,"63,749,670",11,0,0,0,0,36,18,3,0,0,0,0
186,ERA,"1,133,482,024","2,364,214",0.21%,"1,412,159,530","10,178,386","1,874,173,941",18,"56,655,960",0,0,0,0,0,4,4,0,0,0,0,0
187,,"484,215,453",,0.00%,"501,349,969","2,748,704","674,977,738",9,"48,153,522",0,0,0,0,0,1,1,0,0,0,0,0
188,PUPZ,"6,977,861,034","243,553,490",3.49%,"7,898,330,479","101,029,293","12,107,083,195",109,"61,980,921",5,1,1,0,0,25,14,2,0,0,0,0
189,ARS~,"5,635,202,019","728,833,928",12.93%,"15,097,505,853","94,410,397","16,102,291,023",67,"80,713,959",30,10,2,1,1,29,20,8,2,0,0,0
190,-DRE,"4,961,152,367","250,815,494",5.06%,"4,815,085,162","76,647,104","8,684,079,627",89,"50,535,487",5,3,1,0,0,8,4,2,2,0,0,0
191,K191,"3,154,118,561","279,730,364",8.87%,"6,895,441,380","44,054,032","9,500,742,247",51,"61,036,411",14,2,2,0,0,19,7,4,1,0,0,0
192,FRA!,"4,190,942,780","223,449,783",5.33%,"6,874,800,439","70,012,374","9,838,018,677",60,"64,263,951",6,3,1,1,0,17,8,0,0,0,0,0
193,~AI~,"12,113,291,219","925,625,552",7.64%,"22,420,369,242","173,360,623","32,978,947,360",142,"83,208,232",33,7,2,0,0,80,47,9,3,0,0,0
194,T-DC,"18,426,531,504","3,217,710,006",17.46%,"84,960,964,308","393,772,604","69,590,070,010",150,"123,512,849",124,84,37,13,6,130,125,74,30,6,2,2
195,BP's,"6,776,579,412","633,016,194",9.34%,"8,346,864,941","105,629,858","14,629,944,645",109,"58,837,005",19,9,6,2,0,22,5,0,0,0,0,0
196,V-TR,"12,073,647,535","1,436,264,848",11.90%,"37,364,567,401","216,576,769","40,914,637,650",133,"89,206,247",72,19,3,0,0,94,50,8,5,0,0,0
197,MFS!,"9,927,249,491","1,127,718,274",11.36%,"24,758,231,191","178,325,580","29,307,538,145",129,"76,967,279",50,15,5,3,0,70,38,8,3,0,0,0
198,-NS-,"9,636,930,153","443,091,041",4.60%,"11,652,132,820","142,579,394","22,647,815,887",154,"60,758,471",7,0,0,0,0,37,12,0,0,0,0,0
199,Oce3,"7,117,284,353","211,329,889",2.97%,"5,278,703,232","88,599,013","10,913,254,487",114,"58,005,683",4,0,0,0,0,16,9,3,0,0,0,0
200,WRTH,"3,953,717,252","156,386,752",3.96%,"7,287,821,707","59,242,509","8,962,151,104",64,"59,778,099",4,1,1,0,0,14,7,3,1,0,0,0
201,SSG-,"12,330,556,804","2,738,350,931",22.21%,"57,319,388,327","339,987,044","46,222,925,084",143,"90,606,637",62,52,39,24,19,68,62,51,42,17,4,3
202,OoC,"9,665,760,815","727,219,430",7.52%,"12,955,673,072","149,091,176","21,099,938,552",129,"68,690,314",21,6,4,2,1,40,16,7,5,1,0,0
203,woIf,"15,128,478,284","2,279,698,969",15.07%,"44,107,008,432","206,619,724","49,912,877,006",160,"93,005,899",100,42,11,3,1,119,75,10,2,0,0,0
204,SIP,"7,906,422,435","950,616,000",12.02%,"20,316,710,332","138,232,002","22,751,487,706",84,"92,430,974",37,17,5,2,0,55,39,13,3,0,0,0
205,:SE:,"7,620,777,669","237,652,627",3.12%,"9,408,751,203","96,891,782","14,648,762,867",108,"68,206,083",2,2,0,0,0,35,20,1,0,0,0,0
206,MOJE,"2,716,834,884","20,690,176",0.76%,"2,963,805,618","21,830,510","4,333,087,224",47,"48,337,670",0,0,0,0,0,6,3,0,0,0,0,0
207,HAM!,"5,199,310,894","73,429,113",1.41%,"3,291,133,135","48,564,554","8,485,284,299",81,"58,043,763",1,0,0,0,0,11,1,0,0,0,0,0
208,-SyY,"1,245,774,981","154,745,461",12.42%,"5,288,478,810","37,735,958","3,450,838,607",18,"55,825,791",5,3,1,1,0,2,1,0,0,0,0,0
209,-DC-,"11,408,698,240","241,694,851",2.12%,"20,840,090,817","128,741,281","25,873,440,847",133,"82,041,856",4,1,0,0,0,65,42,11,5,2,1,0
210,EoW,"6,142,854,168","225,175,445",3.67%,"4,197,105,458","90,756,834","11,080,569,177",93,"61,417,178",4,0,0,0,0,19,3,1,0,0,0,0
211,K211,"7,418,333,554","1,367,932,128",18.44%,"31,039,774,371","185,348,240","31,880,622,431",102,"75,571,317",58,31,13,3,1,62,38,6,1,0,0,0
212,Nous,"6,414,862,073","308,997,377",4.82%,"6,996,925,089","97,514,362","12,364,761,902",94,"63,890,169",8,1,0,0,0,31,13,0,0,0,0,0
213,VNWE,"1,893,274,172","3,307,925",0.17%,"684,152,310","14,244,562","1,633,893,868",30,"55,397,031",0,0,0,0,0,4,3,0,0,0,0,0
214,KL7,"5,334,509,944","231,484,620",4.34%,"10,208,252,462","45,462,838","12,922,034,203",83,"61,666,896",12,0,0,0,0,20,10,2,0,0,0,0
215,-NWB,"6,205,835,992","945,902,018",15.24%,"15,274,104,725","100,046,570","18,949,326,271",71,"85,358,192",38,13,7,2,1,41,23,5,2,0,0,0
216,WAN,"10,375,398,215","576,913,444",5.56%,"12,639,896,118","121,780,495","22,117,669,849",146,"69,075,240",21,2,0,0,0,46,21,3,1,0,0,0
217,AvG,"9,750,852,268","801,639,117",8.22%,"15,654,605,970","136,078,341","23,854,027,326",126,"75,379,805",30,6,2,0,0,62,27,4,0,0,0,0
218,-NVD,"9,011,787,868","882,697,717",9.79%,"22,031,477,333","161,114,951","24,287,500,816",91,"95,908,560",42,7,2,2,1,63,43,9,4,0,0,0
219,:MM:,"1,525,603,619","41,280,278",2.71%,"2,891,666,785","13,304,975","3,166,761,303",23,"64,742,496",2,2,0,0,0,6,4,1,1,0,0,0
220,,"1,757,626,436","33,546,895",1.91%,"4,487,634,587","23,065,493","3,998,997,080",20,"86,812,353",1,0,0,0,0,11,9,3,2,0,0,0
221,21SW,"24,487,585,739","4,057,863,509",16.57%,"119,443,060,780","612,255,145","100,729,473,364",267,"94,787,990",184,77,22,8,6,195,168,73,21,5,3,1
222,,"1,123,203,232",,0.00%,"732,518,724","14,344,169","1,604,254,128",21,"48,741,659",0,0,0,0,0,4,0,0,0,0,0,0
223,NH0D,"1,966,938,461","40,097,780",2.04%,"3,785,933,034","38,232,838","4,527,723,830",35,"54,184,609",0,0,0,0,0,8,6,0,0,0,0,0
224,H_P,"9,869,084,076","1,244,990,014",12.62%,"25,099,567,614","128,568,998","28,828,659,892",116,"84,344,764",56,14,5,1,0,73,45,8,2,0,0,0
225,25IW,"24,475,521,163","3,917,901,824",16.01%,"115,743,911,892","460,656,216","99,865,420,108",259,"97,844,365",168,71,27,10,8,187,172,85,32,7,2,1
226,AD2,"15,713,572,318","2,888,899,199",18.38%,"64,674,311,923","276,968,631","59,116,431,283",153,"103,451,547",119,63,24,6,4,121,95,31,12,3,1,0
227,DnG,"4,307,591,055","165,802,397",3.85%,"4,474,780,282","22,641,669","6,834,167,611",73,"51,938,696",5,1,1,1,0,8,4,1,0,0,0,0
228,SEAL,"12,669,890,094","1,874,291,518",14.79%,"46,831,243,916","249,088,279","50,459,188,912",161,"80,850,525",90,26,10,2,0,103,62,15,4,0,0,0
229,KIN',"9,779,100,782","1,121,644,428",11.47%,"27,477,122,810","197,643,608","31,546,794,700",99,"98,598,234",50,15,3,1,1,78,48,16,3,0,0,0
230,S230,"2,008,479,491","45,338,838",2.26%,"1,723,646,766","15,764,464","2,812,319,394",35,"53,607,492",2,0,0,0,0,4,3,1,0,0,0,0
231,'EW',"5,429,095,232","278,605,098",5.13%,"4,212,668,113","62,454,803","9,194,144,823",88,"55,451,200",6,1,1,0,0,8,3,0,0,0,0,0
232,HIRE,"8,771,721,161","669,484,422",7.63%,"20,422,507,246","157,325,827","23,657,686,918",96,"89,039,471",23,8,4,2,1,53,38,16,8,1,0,0
233,R GT,"4,634,389,220","259,049,301",5.59%,"7,947,898,192","48,922,915","8,667,479,913",76,"60,264,378",7,4,2,1,1,16,14,7,3,0,0,0
234,KofK,"5,111,265,658","219,115,051",4.29%,"5,368,345,423","44,510,002","9,020,216,702",85,"55,941,403",7,2,1,0,0,16,8,2,0,0,0,0
235,ANGE,"10,842,783,192","996,454,511",9.19%,"16,824,242,651","120,167,429","23,072,594,809",157,"66,269,170",30,12,7,3,2,50,28,5,1,0,0,0
236,EXE#,"5,514,072,641","138,052,623",2.50%,"9,335,809,491","80,200,562","9,771,451,828",70,"73,148,053",3,0,0,0,0,22,18,5,4,1,0,0
237,KML,"8,505,746,502","709,725,152",8.34%,"14,525,170,020","110,037,252","19,693,776,595",116,"71,177,013",26,8,1,0,0,46,28,4,1,0,0,0
238,W~W,"1,496,949,095","10,047,377",0.67%,"756,124,771","11,641,672","1,673,573,841",33,"42,653,132",0,0,0,0,0,1,0,0,0,0,0,0
239,BeSt,"11,692,148,406","1,340,918,213",11.47%,"28,952,040,500","134,344,341","28,461,805,374",154,"69,422,357",34,20,15,7,6,51,37,15,5,1,0,0
240,ARKW,"5,124,011,290","422,951,853",8.25%,"11,963,745,520","97,114,251","14,060,671,810",70,"70,258,187",16,6,3,2,1,27,14,4,2,1,0,0
241,-JF,"1,688,890,782","15,338,410",0.91%,"629,649,617","17,985,047","1,692,379,316",32,"44,818,508",1,0,0,0,0,0,0,0,0,0,0,0
242,GT_A,"3,733,362,036","141,242,756",3.78%,"3,331,904,372","40,346,415","5,779,590,339",58,"61,183,772",4,1,1,0,0,12,5,1,0,0,0,0
243,MYTH,"5,408,360,418","1,517,793,032",28.06%,"27,475,903,664","112,481,058","20,197,001,695",55,"98,402,573",43,36,25,13,4,42,33,10,4,0,0,0
244,TG:&,"2,470,039,546","17,533,943",0.71%,"5,225,395,460","52,289,897","5,473,176,950",29,"82,179,219",1,0,0,0,0,15,11,3,0,0,0,0
245,HoF',"7,253,234,206","192,512,861",2.65%,"10,657,684,874","119,223,023","16,265,555,375",104,"66,359,738",3,1,0,0,0,34,20,2,1,0,0,0
246,BoL,"7,682,295,240","288,104,104",3.75%,"6,893,585,376","87,812,136","14,331,138,465",122,"55,827,508",4,2,0,0,0,22,4,1,0,0,0,0
247,C_C,"17,578,909,414","3,058,487,371",17.40%,"81,428,326,005","481,671,218","69,729,266,150",183,"99,128,935",133,68,23,9,5,137,118,56,26,4,0,0
248,OCTa,"5,040,072,269","54,333,040",1.08%,"4,010,914,817","43,010,494","6,760,271,030",90,"53,041,627",1,0,0,0,0,9,5,0,0,0,0,0
249,WB_A,"35,732,836,850","5,528,059,817",15.47%,"183,346,482,159","1,176,292,396","137,393,116,968",302,"122,318,233",196,124,63,30,18,207,201,159,101,39,21,16
250,BP:B,"3,579,162,404","97,141,172",2.71%,"5,186,215,748","57,251,196","8,200,011,457",52,"67,293,969",4,0,0,0,0,22,9,0,0,0,0,0
251,G_D,"3,098,568,800","71,761,460",2.32%,"4,366,258,866","45,060,718","6,536,015,016",40,"76,243,958",0,0,0,0,0,21,12,2,0,0,0,0
252,S-SG,"3,694,631,273","67,044,542",1.81%,"3,277,300,222","42,772,475","5,325,285,037",67,"50,024,126",2,0,0,0,0,7,3,1,0,0,0,0
253,,"1,740,390,234","87,466,115",5.03%,"1,735,047,456","12,190,559","2,654,866,151",31,"54,147,187",7,0,0,0,0,2,0,0,0,0,0,0
254,W2OD,"3,053,498,256","36,293,217",1.19%,"1,904,070,301","29,100,983","3,653,711,229",45,"62,548,352",1,0,0,0,0,10,5,2,1,0,0,0
255,DEL!,"4,288,898,945","505,958,108",11.80%,"9,470,596,293","85,747,766","11,122,111,059",57,"70,690,966",19,4,3,2,1,22,8,1,1,0,0,0
256,~RP,"9,644,722,713","1,310,720,976",13.59%,"24,295,928,448","214,818,439","30,020,905,779",117,"78,598,343",50,23,10,3,0,60,33,4,0,0,0,0
257,DGN~,"7,811,717,908","499,528,274",6.39%,"8,376,956,835","87,547,866","14,608,957,332",116,"64,723,157",15,8,2,0,0,31,16,2,0,0,0,0
258,GOWA,"9,129,016,547","737,321,847",8.08%,"17,712,627,000","169,611,289","23,138,721,643",106,"83,331,164",28,8,1,0,0,55,29,8,3,2,1,0
259,HA_3,"9,330,122,492","1,380,624,976",14.80%,"34,385,622,300","225,869,912","32,357,356,001",99,"96,221,937",56,27,9,5,3,67,57,31,13,3,0,0
260,OVO~,"3,175,554,141","93,115,219",2.93%,"4,585,772,322","37,464,233","6,049,765,635",51,"56,038,702",4,0,0,0,0,10,4,0,0,0,0,0
261,~MW,"3,477,051,053","34,587,846",0.99%,"1,982,034,021","41,259,838","4,257,847,592",68,"48,931,468",1,0,0,0,0,6,3,1,0,0,0,0
262,262,"6,061,508,466","1,027,513,453",16.95%,"21,969,930,767","155,380,130","23,371,584,374",70,"84,784,806",43,20,7,4,1,45,23,7,1,0,0,0
263,FRND,"5,744,792,446","152,677,579",2.66%,"3,159,148,670","74,957,712","8,474,987,479",107,"50,440,034",3,0,0,0,0,12,6,1,0,0,0,0
264,VoS,"3,979,263,405","565,305,928",14.21%,"7,886,999,284","68,978,641","8,625,400,871",53,"72,276,069",18,9,5,4,3,20,13,3,0,0,0,0
265,LOPV,"3,283,253,345","77,216,704",2.35%,"4,424,796,891","15,868,193","5,318,384,595",47,"65,518,944",3,0,0,0,0,16,7,1,0,0,0,0
266,RA-Y,"24,090,290,131","3,884,072,854",16.12%,"116,478,150,976","519,325,611","92,526,902,766",166,"146,161,080",144,89,43,14,9,153,150,109,69,26,11,2
267,SOE,"2,859,751,330","6,337,694",0.22%,"2,070,740,760","18,989,979","3,780,019,864",48,"56,569,601",0,0,0,0,0,8,5,1,0,0,0,0
268,Ri-p,"4,266,293,707","184,888,465",4.33%,"9,371,075,445","50,631,283","9,564,355,294",58,"69,922,049",7,4,1,0,0,16,14,9,3,0,0,0
269,TWSK,"16,705,715,250","422,109,107",2.53%,"20,481,981,333","185,551,418","34,879,884,260",236,"68,282,214",6,0,0,0,0,78,29,2,0,0,0,0
270,STG!,"4,162,690,012","538,150,931",12.93%,"10,670,194,633","49,228,363","11,365,869,210",49,"82,076,933",22,7,3,3,1,30,20,2,0,0,0,0
271,NCB_,"7,803,493,524","1,005,542,744",12.89%,"20,532,019,448","112,407,662","22,315,076,381",105,"73,182,653",39,11,5,2,1,47,24,3,1,0,0,0
272,FRWI,"3,227,381,133","53,390,193",1.65%,"1,278,739,272","38,593,474","3,905,937,479",55,"49,078,298",0,0,0,0,0,6,3,0,0,0,0,0
273,273A,"6,566,459,301","323,911,183",4.93%,"10,150,430,879","72,986,621","14,384,776,761",92,"67,213,773",8,3,0,0,0,33,15,3,1,0,0,0
274,Onz_,"4,813,534,162","70,037,565",1.46%,"1,987,573,348","22,940,240","4,793,993,484",86,"51,572,260",1,1,0,0,0,7,2,0,0,0,0,0
275,BEST,"12,904,759,061","259,998,099",2.01%,"26,966,949,357","200,153,641","33,050,207,602",148,"84,127,058",1,0,0,0,0,83,48,19,6,0,0,0
276,KoV~,"1,851,454,775","28,215,449",1.52%,"2,893,635,808","16,101,275","3,518,362,069",29,"63,361,666",1,0,0,0,0,12,5,2,1,0,0,0
277,HogW,"4,635,758,680","179,340,501",3.87%,"4,676,826,738","50,457,731","7,739,693,055",72,"59,772,391",4,1,1,0,0,15,7,2,1,0,0,0
278,VHS:,"4,489,195,968","39,785,373",0.89%,"2,757,657,880","50,899,320","5,845,685,934",79,"51,886,256",0,0,0,0,0,8,4,0,0,0,0,0
279,MBH,"1,844,909,760","14,100,572",0.76%,"3,939,924,909","22,611,740","3,498,068,109",28,"64,131,839",0,0,0,0,0,7,6,4,1,0,0,0
280,ToD,"4,712,112,149","297,501,095",6.31%,"5,732,412,009","79,903,154","10,157,461,631",80,"56,313,271",2,1,0,0,0,6,2,0,0,0,0,0
281,LOM-,"6,366,199,678","169,981,452",2.67%,"6,254,471,483","71,997,816","12,376,076,576",91,"64,718,051",2,0,0,0,0,23,12,1,0,0,0,0
282,HE!,"13,348,286,944","1,338,500,606",10.03%,"40,721,127,244","192,749,494","44,804,093,191",157,"84,336,835",55,10,2,1,1,100,57,10,2,0,0,0
283,RFF,"24,694,640,643","4,506,917,213",18.25%,"120,639,454,902","601,420,844","100,428,791,840",322,"81,771,481",186,97,30,18,8,190,164,66,35,9,3,3
284,RNW:,"1,232,248,294","20,209,440",1.64%,"1,469,268,544","14,194,404","2,487,535,281",19,"59,349,763",0,0,0,0,0,4,2,0,0,0,0,0
285,GOA~,"9,001,133,797","261,603,379",2.91%,"7,171,816,360","119,590,819","15,013,888,114",152,"56,510,720",5,1,0,0,0,20,6,2,0,0,0,0
286,WG:L,"14,831,047,471","3,033,692,559",20.46%,"62,886,281,439","380,158,136","54,965,882,231",149,"101,542,991",100,48,30,18,11,110,83,33,18,10,5,1
287,OeV,"3,747,551,381","68,992,116",1.84%,"2,777,895,072","55,884,830","5,997,391,336",57,"58,576,542",0,0,0,0,0,12,2,0,0,0,0,0
288,G95K,"1,728,721,237","2,861,736",0.17%,"473,876,933","15,491,732","1,331,175,512",34,"43,160,673",0,0,0,0,0,1,0,0,0,0,0,0
289,S/T,"12,841,175,463","2,002,337,401",15.59%,"41,251,180,574","277,442,843","42,848,412,218",154,"82,685,240",86,33,12,4,1,94,50,8,0,0,0,0
290,!KOD,"2,375,584,199","88,192,232",3.71%,"7,141,231,183","37,073,555","7,053,010,223",38,"60,544,283",3,0,0,0,0,11,3,2,0,0,0,0
291,CCRN,"6,099,877,542","550,754,628",9.03%,"10,832,330,540","91,550,311","16,261,268,004",84,"70,840,702",20,7,5,1,0,31,19,4,0,0,0,0
292,FOD!,"4,662,441,728","388,735,732",8.34%,"8,104,413,299","87,279,113","12,758,819,999",68,"67,052,422",14,4,1,0,0,26,15,3,1,0,0,0
293,,"761,658,409","229,970",0.03%,"808,159,499","5,573,881","1,046,481,361",16,"43,811,178",0,0,0,0,0,1,0,0,0,0,0,0
294,KUR,"7,266,297,302","386,377,325",5.32%,"8,109,846,705","101,186,209","13,892,860,491",123,"55,545,933",11,4,1,0,0,19,12,3,0,0,0,0
295,-RA-,"7,508,014,549","626,693,215",8.35%,"8,430,765,216","87,039,626","14,761,964,583",113,"64,109,322",21,5,3,1,0,28,8,1,1,0,0,0
296,,"580,422,046","10,344,012",1.78%,"445,319,244","8,802,026","975,726,389",11,"46,631,075",0,0,0,0,0,1,0,0,0,0,0,0
297,SG97,"14,877,016,339","1,989,244,548",13.37%,"45,113,077,219","202,551,130","50,179,301,863",157,"94,946,809",96,22,5,2,1,121,77,17,3,0,0,0
298,"""TR""","7,184,061,914","852,173,337",11.86%,"16,398,793,450","109,179,681","19,724,123,698",95,"74,971,496",32,13,4,3,0,46,26,4,0,0,0,0
299,BxB,"9,704,368,550","242,056,080",2.49%,"16,510,682,257","119,403,185","23,646,969,921",138,"65,628,962",3,0,0,0,0,44,18,3,0,0,0,0
300,ASI,"17,508,254,927","2,123,026,191",12.13%,"30,250,818,838","260,496,488","46,886,792,756",236,"71,801,382",86,22,9,2,0,87,34,6,2,0,0,0
301,SCS,"2,232,014,327","18,391,822",0.82%,"1,835,688,455","17,362,162","3,135,302,860",49,"42,124,442",1,0,0,0,0,4,1,0,0,0,0,0
302,SHPz,"6,887,552,916","940,872,427",13.66%,"20,481,925,634","115,160,123","22,896,160,344",160,"48,820,347",42,14,5,2,1,51,40,11,1,1,0,0
303,PROP,"1,679,471,173","5,792,572",0.34%,"1,110,604,460","22,184,006","2,149,714,909",31,"51,492,288",0,0,0,0,0,2,1,1,1,0,0,0
304,SwaG,"10,296,233,969","1,392,799,692",13.53%,"38,838,484,210","154,259,496","32,523,272,232",106,"97,447,173",59,22,8,3,1,86,63,13,1,0,0,0
305,05FM,"15,327,695,354","2,040,886,301",13.32%,"38,477,736,463","221,598,165","51,239,790,775",177,"84,852,543",84,26,7,4,1,109,49,10,2,0,0,0
306,BPW,"1,535,401,963","7,014,723",0.46%,"886,022,667","12,545,177","2,020,699,095",34,"40,773,264",0,0,0,0,0,1,0,0,0,0,0,0
307,DWO,"7,460,837,440","364,651,157",4.89%,"6,945,962,035","80,126,735","13,552,541,334",123,"55,465,745",9,2,0,0,0,11,6,0,0,0,0,0
309,FaC,"7,562,529,505","191,765,975",2.54%,"9,599,831,254","83,773,376","14,497,397,573",119,"59,193,271",0,0,0,0,0,24,15,4,1,0,0,0
310,LioN,"14,789,985,427","2,726,332,700",18.43%,"58,956,310,066","299,815,743","55,688,507,656",150,"100,355,351",121,52,17,7,6,125,88,33,8,3,1,0
311,KINT,"6,782,942,606","300,658,954",4.43%,"5,554,049,958","70,177,818","12,042,923,958",111,"55,273,274",5,1,0,0,0,16,4,0,0,0,0,0
312,,"1,120,268,284","598,731",0.05%,"1,172,244,041","12,466,226","1,664,328,577",22,"44,643,850",0,0,0,0,0,3,1,0,0,0,0,0
313,XSJ,"10,311,142,260","1,036,343,090",10.05%,"20,511,363,912","138,682,875","25,860,152,669",139,"71,582,831",38,14,5,4,1,52,24,7,3,0,0,0
314,ASH3,"6,114,268,137","628,818,411",10.28%,"19,062,176,640","86,111,845","16,629,183,540",55,"110,062,929",25,11,3,1,1,49,35,19,6,0,0,0
315,3TL,"3,285,264,111","191,243,162",5.82%,"6,011,108,086","21,826,843","7,581,757,485",55,"55,107,538",8,1,0,0,0,10,5,0,0,0,0,0
316,UNiT,"8,276,479,730","837,234,431",10.12%,"19,476,836,666","188,573,541","25,538,267,493",106,"76,389,284",28,8,3,2,1,41,23,9,2,1,1,1
317,RusT,"1,261,774,336","45,103,032",3.57%,"1,698,321,206","12,793,678","2,123,157,412",24,"46,505,372",2,0,0,0,0,3,1,0,0,0,0,0
318,,"1,380,228,251",,0.00%,"759,983,177","11,125,341","1,790,248,703",26,"46,238,489",0,0,0,0,0,1,0,0,0,0,0,0
319,W~B,"8,648,380,047","998,703,616",11.55%,"23,511,156,419","149,356,860","27,111,851,221",118,"72,814,898",47,7,1,0,0,58,23,4,3,0,0,0
320,,"1,315,254,134","13,160,462",1.00%,"2,459,323,634","12,077,895","2,088,229,349",26,"46,740,499",1,0,0,0,0,3,1,1,0,0,0,0
321,S1N,"6,391,782,536","424,457,607",6.64%,"6,126,592,829","92,847,271","13,241,924,618",117,"49,769,508",14,2,1,0,0,11,4,1,0,0,0,0
322,Ph#x,"3,125,073,274","41,146,258",1.32%,"1,665,189,855","18,893,627","3,726,256,283",50,"55,778,032",0,0,0,0,0,5,1,0,0,0,0,0
323,,"1,714,402,187","12,340,764",0.72%,"1,493,359,879","10,542,840","1,902,663,018",40,"39,540,656",0,0,0,0,0,2,1,0,0,0,0,0
324,ASC~,"8,125,300,628","1,177,918,016",14.50%,"32,111,943,227","135,727,554","31,060,173,265",89,"92,836,845",57,25,4,0,0,68,48,21,4,0,0,0
325,,"630,547,868",,0.00%,"279,136,579","4,046,976","597,814,069",17,"33,589,402",0,0,0,0,0,0,0,0,0,0,0,0
326,NW:S,"1,811,072,910","5,670,214",0.31%,"1,668,086,899","31,266,751","3,313,367,289",33,"48,716,990",0,0,0,0,0,5,2,0,0,0,0,0
327,UHO,"2,328,038,650","98,234,589",4.22%,"2,865,372,423","29,038,834","3,754,968,228",48,"43,420,054",2,2,1,1,0,4,1,1,0,0,0,0
328,HWGA,"1,637,965,145","37,851,046",2.31%,"733,420,972","9,477,348","1,777,478,981",24,"51,207,837",1,0,0,0,0,3,1,0,0,0,0,0
329,-FF-,"7,841,199,423","1,030,585,956",13.14%,"23,036,552,927","177,036,078","26,291,728,155",106,"72,391,461",38,13,6,3,1,44,16,1,0,0,0,0
330,LUNA,"6,525,083,930","351,422,249",5.39%,"6,317,930,435","75,951,079","12,404,319,975",104,"59,127,525",13,2,1,0,0,17,7,0,0,0,0,0
331,:BO:,"2,330,902,793","38,242,561",1.64%,"3,117,562,777","22,342,616","4,328,480,975",39,"54,834,017",1,1,0,0,0,7,4,1,1,0,0,0
332,#CE,"4,365,905,319","129,281,626",2.96%,"3,814,482,048","37,872,398","6,353,648,955",94,"44,023,967",2,0,0,0,0,4,2,0,0,0,0,0
