KD,#1 Ally,Top 300 Power,Top 300 Merits,M/P,Top 300 Kills,Top 300 Deads,Top 300 Heals,CH25,CH25 AP,60-80M,80-100M,100-125M,125-150M,150-200M,200M+,#1 Ally,Total KD Power,CH16,Lords,CH16 AP,Lords AP,CH16 KvK,CH25 KvK,Allies,Ally Lords,Unique Alliances in KD,1B+ Power,1B+ Ally Tags,Top 600 Power,Top 600 Merits,Top 600 Kills,Top 600 Heals,Top 600 Deads,10-20M,20-40M,40-60M,40-60M
159,RGD',2743983494,104683720,3.82%,2949601738,28349489,4677946160,46,51730459,9,3,2,1,0,0,"2,362,589,261","3,079,788,157",114,130,"26,908,352","23,690,678",0,0,7,117,RGD',"2,362,589,261",RGD',"2,743,983,494","104,683,720","2,949,601,738","4,677,946,160","28,349,489",19,28,11,68
160,KoY,6141720562,88989813,1.45%,6271488384,62074847,9963952454,118,47326431,16,4,2,1,0,0,"4,725,269,286","6,747,177,081",242,250,"27,868,470","26,988,708",193,103,10,211,KoY,"4,725,269,286",KoY,"6,141,720,562","88,989,813","6,271,488,384","9,963,952,454","62,074,847",34,56,49,1
161,GD-W,10234839735,1400639147,13.69%,28061440504,100931982,27008212516,146,69484178,57,26,7,4,1,0,"9,972,969,875","13,234,837,281",576,593,"22,967,163","22,318,444",0,0,12,563,"GD-W,GDW2","11,218,118,991","GD-W,GDW2","10,234,839,735","1,400,639,147","28,061,440,504","27,008,212,516","100,931,982",128,11,36,0
162,LegC,2217744081,23496545,1.06%,1240371235,17036326,2887667214,44,47204180,5,1,0,0,0,0,"1,860,394,629","2,343,825,543",72,76,"32,512,375","30,839,810",0,0,5,62,LegC,"1,860,394,629",LegC,"2,217,744,081","23,496,545","1,240,371,235","2,887,667,214","17,036,326",5,20,22,33
163,DYH,18474188648,1332690466,7.21%,41704625270,178400790,38858526237,244,73973734,42,50,40,9,7,1,"15,809,730,153","19,484,079,178",533,550,"36,544,717","35,425,599",365,242,13,523,"DYH,DYL","17,840,506,497","DYH,DYL","18,474,188,648","1,332,690,466","41,704,625,270","38,858,526,237","178,400,790",63,47,45,0
164,BUNS,20224339565,2249167105,11.12%,55129909002,200407704,51150659648,192,105060275,15,54,79,19,10,4,"15,075,720,354","21,696,160,436",518,565,"41,864,465","38,400,284",0,0,11,520,"BUNS,BxS","19,837,870,026","BUNS,BxS","20,224,339,565","2,249,167,105","55,129,909,002","51,150,659,648","200,407,704",45,6,3,0
165,BR-C,3500559949,27609222,0.79%,2472748871,22328347,4571878990,60,53164306,13,3,1,0,0,0,"3,218,617,232","3,628,281,140",88,95,"41,157,544","38,192,433",0,0,4,80,BR-C,"3,218,617,232",BR-C,"3,500,559,949","27,609,222","2,472,748,871","4,571,878,990","22,328,347",10,17,34,9
166,FBI-,3273960910,88212560,2.69%,2313478275,33980026,5053429931,53,58534259,11,6,1,0,1,0,"2,028,079,704","3,474,341,157",92,97,"37,728,125","35,817,950",0,0,3,86,"FBI-,ChT","3,274,309,320","FBI-,ChT","3,273,960,910","88,212,560","2,313,478,275","5,053,429,931","33,980,026",9,13,27,47
167,-I-,7550329202,997837000,13.22%,24349422836,108752769,20992778230,80,93494939,13,19,18,10,4,1,"6,483,840,015","8,369,028,103",238,367,"35,039,426","22,803,891",0,0,12,335,"-I-,COD3","7,499,330,026","-I-,COD3","7,550,329,202","997,837,000","24,349,422,836","20,992,778,230","108,752,769",34,9,9,0
168,,1420406536,40483607,2.85%,3188358436,21935419,2733048870,21,59557460,4,4,1,0,0,0,,"1,760,322,564",107,120,"16,402,010","14,669,355",46,12,9,102,,,,"1,420,406,536","40,483,607","3,188,358,436","2,733,048,870","21,935,419",16,8,8,59
169,COTC,3410412438,59935165,1.76%,2254786353,21732926,4839233087,64,48801564,16,2,1,0,0,0,"3,423,643,195","3,735,084,045",126,139,"29,586,220","26,871,108",0,0,7,122,COTC,"3,423,643,195",COTC,"3,410,412,438","59,935,165","2,254,786,353","4,839,233,087","21,732,926",20,24,25,7
170,L-PG,12836517814,983377766,7.66%,25042907345,132807332,33192001497,183,69915589,59,31,26,1,1,0,"11,619,515,726","14,851,486,117",438,462,"33,877,203","32,146,074",0,0,7,412,"L-PG,D-PG","13,200,043,612","L-PG,D-PG","12,836,517,814","983,377,766","25,042,907,345","33,192,001,497","132,807,332",99,17,45,3
171,LCPE,5206096809,320391484,6.15%,9450261168,43144027,12051233977,71,71205601,10,20,15,0,0,0,"4,405,344,067","5,682,771,263",148,164,"38,333,330","34,651,044",0,0,8,125,LCPE,"4,405,344,067",LCPE,"5,206,096,809","320,391,484","9,450,261,168","12,051,233,977","43,144,027",28,14,11,2
172,CLB,4966347262,679241911,13.68%,13132665039,46159507,10987140230,54,89736399,10,15,16,4,1,0,"4,588,270,926","5,463,394,698",165,193,"33,061,569","28,307,745",0,0,7,166,CLB,"4,588,270,926",CLB,"4,966,347,262","679,241,911","13,132,665,039","10,987,140,230","46,159,507",19,6,5,31
173,B2W!,2944147288,126229360,4.29%,10381750287,39673317,7792281437,47,62797181,9,11,3,0,2,0,"3,152,038,245","4,084,016,008",256,267,"15,925,065","15,295,940",142,37,8,227,B2W!,"3,152,038,245",B2W!,"2,944,147,288","126,229,360","10,381,750,287","7,792,281,437","39,673,317",50,11,4,28
174,S2AK,12953649696,1046499415,8.08%,35825044803,169316849,31758530783,184,71729043,47,18,10,11,3,5,"12,619,820,925","16,179,048,596",650,673,"24,878,327","24,040,191",0,0,14,615,S2AK,"12,619,820,925",S2AK,"12,953,649,696","1,046,499,415","35,825,044,803","31,758,530,783","169,316,849",137,23,36,1
175,LoW!,3588976522,81650224,2.28%,3008283843,33334552,5365224858,77,42709141,9,0,2,0,0,0,"3,577,599,965","4,062,087,233",173,186,"23,425,715","21,839,179",105,59,6,152,LoW!,"3,577,599,965",LoW!,"3,588,976,522","81,650,224","3,008,283,843","5,365,224,858","33,334,552",24,44,25,11
176,EIS,26401889942,2577985464,9.76%,105075908567,351581610,72311374295,288,95896359,2,14,77,48,27,18,"25,727,199,219","31,626,756,989","1,032","1,137","30,618,370","27,815,969",0,0,19,"1,089","EIS,CMT2","27,126,986,834","EIS,CMT2","26,401,889,942","2,577,985,464","105,075,908,567","72,311,374,295","351,581,610",226,2,1,0
177,177-,1602885464,3309772,0.21%,861892825,14029018,2147605590,32,43969267,5,1,0,0,0,0,"1,171,947,399","1,876,154,302",91,100,"20,560,016","18,761,543",0,0,8,76,177-,"1,171,947,399",177-,"1,602,885,464","3,309,772","861,892,825","2,147,605,590","14,029,018",11,19,12,7
178,IM-G,7594429124,327826455,4.32%,6938768011,73367860,14402707920,133,53679396,32,3,4,0,0,0,"5,643,560,170","8,115,925,477",235,252,"34,498,149","32,206,053",161,112,5,219,"IM-G,IMG2","6,798,461,080","IM-G,IMG2","7,594,429,124","327,826,455","6,938,768,011","14,402,707,920","73,367,860",30,37,67,0
179,,1301014643,21741496,1.67%,1605728332,10918711,2371955057,24,50807498,2,4,0,0,0,0,,"1,580,268,470",73,87,"21,519,183","18,164,005",25,11,8,51,,,,"1,301,014,643","21,741,496","1,605,728,332","2,371,955,057","10,918,711",16,7,11,11
180,~CS,2569642421,25547115,0.99%,1977853614,23302870,3300287602,48,48573535,6,2,1,0,0,0,"2,561,610,002","2,851,383,053",104,113,"27,378,023","25,233,478",55,39,7,90,~CS,"2,561,610,002",~CS,"2,569,642,421","25,547,115","1,977,853,614","3,300,287,602","23,302,870",15,19,25,20
181,ZiLA,6154009144,447137147,7.27%,11629254412,58277514,14319916346,66,89289640,9,19,21,1,2,1,"5,328,786,221","6,474,999,622",147,160,"44,006,035","40,468,748",0,0,9,141,ZiLA,"5,328,786,221",ZiLA,"6,154,009,144","447,137,147","11,629,254,412","14,319,916,346","58,277,514",14,15,4,2
182,RR',2702342115,61703919,2.28%,3571044093,23458912,4201683237,40,62040287,8,8,4,1,0,0,"2,485,602,228","2,958,194,651",87,97,"33,958,081","30,496,852",41,24,4,70,RR',"2,485,602,228",RR',"2,702,342,115","61,703,919","3,571,044,093","4,201,683,237","23,458,912",19,15,7,22
183,A5G!,18249330665,2530801334,13.87%,61517761704,225702118,49801348226,174,105278831,10,25,78,26,8,4,"15,588,186,719","20,635,039,554",573,633,"35,973,218","32,598,799",0,0,9,535,"A5G!,A2G!,A3G!,A4G","19,354,787,289","A5G!,A2G!,A3G!,A4G","18,249,330,665","2,530,801,334","61,517,761,704","49,801,348,226","225,702,118",80,8,7,0
184,SHP-,7201461266,372871764,5.18%,9218963228,110837509,15254759923,116,59638367,38,14,3,0,0,0,"6,742,804,325","7,481,407,903",172,180,"43,473,788","41,563,377",126,105,4,157,SHP-,"6,742,804,325",SHP-,"7,201,461,266","372,871,764","9,218,963,228","15,254,759,923","110,837,509",15,23,44,0
185,TGV,5662989912,132863541,2.35%,3029554178,50762113,8027277342,103,49974854,17,5,1,0,0,0,"5,378,370,200","5,903,755,675",164,167,"35,982,578","35,351,830",0,0,6,157,TGV,"5,378,370,200",TGV,"5,662,989,912","132,863,541","3,029,554,178","8,027,277,342","50,762,113",20,42,49,0
186,ERA,4337551985,375561996,8.66%,9010584937,46143952,10283978085,53,77647571,11,18,11,0,0,0,"4,182,026,634","4,729,760,032",130,144,"36,341,276","32,845,556",0,0,6,115,ERA,"4,182,026,634",ERA,"4,337,551,985","375,561,996","9,010,584,937","10,283,978,085","46,143,952",23,9,5,112
187,AFK!,6001632010,558679528,9.31%,13506322622,55788528,14976234672,76,76354881,12,15,22,0,1,0,"5,345,944,576","6,363,073,717",136,142,"46,763,623","44,810,378",0,0,7,119,AFK!,"5,345,944,576",AFK!,"6,001,632,010","558,679,528","13,506,322,622","14,976,234,672","55,788,528",22,19,12,2
188,PP~~,5983283484,174882936,2.92%,5753805409,71038076,8990960942,103,53026132,19,5,4,0,0,0,"5,874,635,358","6,344,253,694",181,188,"35,031,130","33,746,030",0,0,8,174,PP~~,"5,874,635,358",PP~~,"5,983,283,484","174,882,936","5,753,805,409","8,990,960,942","71,038,076",23,40,48,0
189,F33T,8003157920,186170355,2.33%,6867398557,62774373,11880087015,157,44870946,15,6,0,0,0,0,"6,892,365,203","8,726,857,206",313,326,"27,850,580","26,769,501",247,144,7,285,"F33T,DSGS","7,962,080,232","F33T,DSGS","8,003,157,920","186,170,355","6,867,398,557","11,880,087,015","62,774,373",37,90,72,1
190,-DRE,2944714005,10469240,0.36%,2026326726,28516387,3370596292,62,40972069,5,0,0,1,0,0,"2,492,959,524","3,286,363,404",138,149,"23,770,807","22,056,130",50,37,12,111,-DRE,"2,492,959,524",-DRE,"2,944,714,005","10,469,240","2,026,326,726","3,370,596,292","28,516,387",20,44,21,110
191,14BS,15011352188,886723813,5.91%,25336837646,118121850,33614537271,198,73549431,55,54,27,4,0,0,"13,814,842,623","17,308,078,073",587,596,"29,480,971","29,040,399",0,0,11,562,"14BS,14BR","14,957,000,616","14BS,14BR","15,011,352,188","886,723,813","25,336,837,646","33,614,537,271","118,121,850",110,20,37,0
192,DG!,3132078943,129557085,4.14%,4805410841,32405142,5090532786,47,59625299,6,5,3,1,0,1,"1,793,367,552","3,580,686,226",148,176,"24,130,894","20,344,808",0,0,8,148,DG!,"1,793,367,552",DG!,"3,132,078,943","129,557,085","4,805,410,841","5,090,532,786","32,405,142",26,20,17,102
193,-IR-,17264544524,1205991024,6.99%,38922068954,136773966,45151010260,207,83680469,58,87,31,6,0,2,"16,439,533,324","18,553,854,315",375,389,"49,453,795","47,696,284",0,0,8,351,-IR-,"16,439,533,324",-IR-,"17,264,544,524","1,205,991,024","38,922,068,954","45,151,010,260","136,773,966",63,5,11,0
194,T-DC,5679429212,311286627,5.48%,16703107315,64974175,12616312361,62,90949607,5,7,15,6,6,1,"5,170,389,291","6,251,486,622",198,219,"31,539,841","28,545,601",0,0,7,190,T-DC,"5,170,389,291",T-DC,"5,679,429,212","311,286,627","16,703,107,315","12,616,312,361","64,974,175",23,10,10,1
195,BP's,3618102609,46249041,1.28%,2010790708,35844873,4525032204,70,45559174,10,1,0,0,0,0,"3,001,659,628","3,915,991,804",142,153,"27,528,179","25,594,718",0,0,10,132,BP's,"3,001,659,628",BP's,"3,618,102,609","46,249,041","2,010,790,708","4,525,032,204","35,844,873",17,40,32,98
196,LotB,1398230530,1075380,0.08%,685157592,9714385,1409680746,28,40651250,2,1,0,0,0,0,"1,112,604,692","1,709,085,247",92,104,"18,502,064","16,433,512",6,5,9,75,LotB,"1,112,604,692",LotB,"1,398,230,530","1,075,380","685,157,592","1,409,680,746","9,714,385",23,16,10,10
197,MI-E,16618703367,396668255,2.39%,36174042765,160923097,35981612814,204,80907484,56,58,32,11,2,1,"15,230,469,796","18,127,182,669",579,634,"31,265,431","28,591,771",338,181,11,585,MI-E,"15,230,469,796",MI-E,"16,618,703,367","396,668,255","36,174,042,765","35,981,612,814","160,923,097",52,19,25,0
198,-NS-,7461723505,294398496,3.95%,6419524846,77282575,13286291223,136,51313301,25,5,1,0,0,0,"6,567,142,076","8,104,349,033",267,278,"30,325,758","29,152,335",0,0,7,254,-NS-,"6,567,142,076",-NS-,"7,461,723,505","294,398,496","6,419,524,846","13,286,291,223","77,282,575",30,46,76,0
199,Oce3,2786754234,34794242,1.25%,1738271001,31519984,3169697901,57,42425817,3,1,0,0,0,0,"2,084,442,013","3,207,785,899",139,154,"23,020,868","20,829,779",0,0,8,127,Oce3,"2,084,442,013",Oce3,"2,786,754,234","34,794,242","1,738,271,001","3,169,697,901","31,519,984",24,38,23,30
200,DOR@,5320617007,99555509,1.87%,5199326577,63413745,9363228900,97,48578273,10,8,3,0,0,0,"3,852,484,120","5,594,714,702",172,185,"32,474,296","30,241,701",0,0,13,140,DOR@,"3,852,484,120",DOR@,"5,320,617,007","99,555,509","5,199,326,577","9,363,228,900","63,413,745",20,51,38,2
201,UNIQ,3822684376,385674825,10.09%,8256876691,59982886,8508674982,64,59920206,10,13,6,1,1,0,"3,631,834,938","4,605,851,565",205,216,"22,454,561","21,323,387",0,0,5,159,UNIQ,"3,631,834,938",UNIQ,"3,822,684,376","385,674,825","8,256,876,691","8,508,674,982","59,982,886",44,9,11,2
202,OoC,6856034119,164312834,2.40%,4693629185,74254374,10194624586,121,49861266,17,2,2,1,1,0,"3,320,734,345","7,221,663,471",211,225,"34,177,029","32,096,282",0,0,7,189,"OoC,ulti","6,264,181,748","OoC,ulti","6,856,034,119","164,312,834","4,693,629,185","10,194,624,586","74,254,374",34,57,59,1
203,woIf,10497778599,143827394,1.37%,15902977673,83672396,22084932286,156,62917044,47,26,6,0,1,0,"8,769,543,895","11,553,745,678",341,361,"33,849,229","32,004,836",259,141,8,319,"woIf,DEN","9,841,599,959","woIf,DEN","10,497,778,599","143,827,394","15,902,977,673","22,084,932,286","83,672,396",48,43,49,4
204,SIP,7111428590,503957978,7.09%,10792285203,93464546,15806785853,106,66411213,44,12,10,1,0,0,"6,374,127,141","7,771,417,040",215,234,"36,092,423","33,211,184",0,0,8,196,SIP,"6,374,127,141",SIP,"7,111,428,590","503,957,978","10,792,285,203","15,806,785,853","93,464,546",24,14,25,0
205,:SE:,7070128645,284828157,4.03%,9267309467,57083794,11688445050,106,62951680,12,20,15,0,0,0,"5,521,005,814","7,422,940,580",174,195,"42,619,434","38,066,362",0,0,8,163,:SE:,"5,521,005,814",:SE:,"7,070,128,645","284,828,157","9,267,309,467","11,688,445,050","57,083,794",22,36,30,0
206,MOE-,1728543952,5851403,0.34%,1360411245,16369337,2143762948,40,37939667,4,1,0,0,0,0,"1,349,880,783","1,964,397,161",84,93,"23,325,541","21,122,550",21,16,9,74,MOE-,"1,349,880,783",MOE-,"1,728,543,952","5,851,403","1,360,411,245","2,143,762,948","16,369,337",16,29,9,30
207,HAM!,10734144769,344285084,3.21%,7237534710,98088464,18378545399,183,53903261,54,8,1,0,0,0,"8,470,304,254","11,353,169,858",326,337,"34,811,512","33,688,931",0,0,5,303,"HAM!,hams","10,352,468,917","HAM!,hams","10,734,144,769","344,285,084","7,237,534,710","18,378,545,399","98,088,464",31,58,86,0
208,-SyY,1278019372,154515036,12.09%,3061670414,18959938,2166601474,25,43232783,2,1,1,0,0,0,"1,460,620,655","1,596,463,484",114,123,"13,956,899","12,979,378",0,0,6,109,-SyY,"1,460,620,655",-SyY,"1,278,019,372","154,515,036","3,061,670,414","2,166,601,474","18,959,938",25,16,7,6
209,-DC-,6485614818,315070671,4.86%,7043883510,41926747,9263045892,112,53017093,13,6,9,1,1,0,"5,833,140,184","7,080,069,478",232,245,"30,479,404","28,898,243",168,100,7,211,-DC-,"5,833,140,184",-DC-,"6,485,614,818","315,070,671","7,043,883,510","9,263,045,892","41,926,747",31,60,34,0
210,EoW,3446853977,70908134,2.06%,1628457509,29841909,4394966955,66,48869179,10,0,1,0,0,0,"2,894,760,126","3,700,385,952",117,132,"31,576,859","28,033,227",0,0,8,106,EoW,"2,894,760,126",EoW,"3,446,853,977","70,908,134","1,628,457,509","4,394,966,955","29,841,909",14,25,36,14
211,K211,17592024480,2129003246,12.10%,47524431823,247274585,49756152827,229,77030271,75,57,35,7,3,0,"15,124,388,119","20,111,655,780",556,625,"36,124,312","32,178,649",0,0,10,567,"K211,DvF,211F","18,460,447,768","K211,DvF,211F","17,592,024,480","2,129,003,246","47,524,431,823","49,756,152,827","247,274,585",116,14,28,2
212,Nous,3750413540,100437921,2.68%,2659562406,34879678,6038480343,66,48798660,17,3,0,0,0,0,"2,759,831,154","4,042,627,860",134,147,"30,109,842","27,500,870",0,0,8,122,Nous,"2,759,831,154",Nous,"3,750,413,540","100,437,921","2,659,562,406","6,038,480,343","34,879,678",18,38,21,2
213,VNWE,3369509347,10113403,0.30%,1582080656,25865224,3911359236,59,52793826,12,5,1,0,0,0,"3,167,087,266","3,665,680,246",117,130,"31,251,042","28,197,540",48,33,6,114,VNWE,"3,167,087,266",VNWE,"3,369,509,347","10,113,403","1,582,080,656","3,911,359,236","25,865,224",16,22,24,4
214,KL7F,3921685616,19584404,0.50%,5364590929,28609931,8267127044,82,43948478,10,2,0,0,0,0,"1,618,954,218","4,475,950,333",198,213,"22,565,811","21,013,851",45,20,14,160,KL7F,"1,618,954,218",KL7F,"3,921,685,616","19,584,404","5,364,590,929","8,267,127,044","28,609,931",32,32,39,106
215,H- F,2088494765,10881586,0.52%,1655181527,20509549,2669348532,41,45465472,7,0,1,1,0,0,"1,888,880,743","2,335,176,967",87,97,"26,755,817","24,073,989",37,26,5,75,H- F,"1,888,880,743",H- F,"2,088,494,765","10,881,586","1,655,181,527","2,669,348,532","20,509,549",15,20,15,6
216,WAN,10071418669,376375580,3.74%,9831567060,80538025,17491606036,178,54571938,44,17,5,1,0,0,"7,110,444,215","10,744,855,017",296,315,"36,263,501","34,110,651",0,0,9,255,"WAN,StAy","8,197,431,181","WAN,StAy","10,071,418,669","376,375,580","9,831,567,060","17,491,606,036","80,538,025",44,49,63,8
217,:AV:,4590797265,65980956,1.44%,2430540005,34273152,5522998336,84,49122827,14,3,2,0,0,0,"4,601,276,200","5,116,541,827",182,196,"28,064,482","26,104,805",114,63,8,168,:AV:,"4,601,276,200",:AV:,"4,590,797,265","65,980,956","2,430,540,005","5,522,998,336","34,273,152",39,29,40,35
218,-AMZ,7101849634,287240842,4.04%,8487802518,74781702,12074176836,92,74040137,19,23,14,3,0,0,"6,949,040,313","7,474,856,054",167,183,"44,717,277","40,846,208",0,0,8,170,-AMZ,"6,949,040,313",-AMZ,"7,101,849,634","287,240,842","8,487,802,518","12,074,176,836","74,781,702",21,13,25,0
219,:MM:,16735123663,2484917729,14.85%,46555039975,233062805,40992418268,170,97305638,29,55,47,20,4,2,"15,808,924,291","18,806,156,885",581,658,"32,330,662","28,580,786",0,0,8,605,:MM:,"15,808,924,291",:MM:,"16,735,123,663","2,484,917,729","46,555,039,975","40,992,418,268","233,062,805",91,5,5,0
220,A~S,11472972015,1616505013,14.09%,36946101717,146716124,28985037856,113,101785813,8,30,53,12,2,1,"10,803,529,790","12,494,833,365",242,262,"51,587,317","47,690,204",0,0,7,228,A~S,"10,803,529,790",A~S,"11,472,972,015","1,616,505,013","36,946,101,717","28,985,037,856","146,716,124",44,2,1,0
221,21SW,16444479489,2077774780,12.64%,52159343421,233054575,46274078943,196,84678239,42,75,42,6,2,2,"15,706,765,957","20,515,068,626",701,735,"29,252,716","27,911,658",0,0,15,683,"21SW,SW_4","17,085,888,327","21SW,SW_4","16,444,479,489","2,077,774,780","52,159,343,421","46,274,078,943","233,054,575",178,11,1,0
222,HOUW,8945114433,655274038,7.33%,20908834885,93428368,21655022209,112,78485854,21,34,23,2,1,1,"8,000,610,877","9,706,119,233",236,248,"41,096,186","39,137,578",0,0,12,197,HOUW,"8,000,610,877",HOUW,"8,945,114,433","655,274,038","20,908,834,885","21,655,022,209","93,428,368",43,17,10,0
223,IF_,5124356110,320399197,6.25%,12867839201,65066500,12131688299,53,92943809,4,18,21,3,0,0,"4,321,211,572","5,823,231,354",195,213,"29,827,475","27,339,114",0,0,14,177,IF_,"4,321,211,572",IF_,"5,124,356,110","320,399,197","12,867,839,201","12,131,688,299","65,066,500",33,6,3,0
224,H_P,6350028371,181237968,2.85%,11558452502,58620828,13890142087,89,67567669,29,21,5,0,1,0,"5,998,537,847","6,892,124,931",229,240,"30,065,772","28,717,187",133,80,7,187,H_P,"5,998,537,847",H_P,"6,350,028,371","181,237,968","11,558,452,502","13,890,142,087","58,620,828",25,16,22,2
225,25IW,20243901849,2754688812,13.61%,61910320112,276630201,56937858158,249,82589430,49,106,40,5,5,2,"16,553,824,534","24,205,069,160",717,751,"33,737,476","32,230,452",0,0,11,681,"25IW,25IL,25IG","20,682,553,479","25IW,25IL,25IG","20,243,901,849","2,754,688,812","61,910,320,112","56,937,858,158","276,630,201",191,6,9,1
226,AVIC,10112260309,1354898013,13.40%,27696923936,124909403,25280891150,106,94941306,10,38,32,8,3,1,"9,711,725,427","11,113,079,495",232,255,"47,847,113","43,580,704",0,0,4,222,"AVIC,A/D","10,944,761,717","AVIC,A/D","10,112,260,309","1,354,898,013","27,696,923,936","25,280,891,150","124,909,403",43,5,8,0
227,DnG,2829301311,5615671,0.20%,968268043,17889778,3013993983,58,40998205,4,0,0,0,0,0,"1,799,440,629","3,149,163,612",122,128,"25,783,044","24,602,841",46,31,9,114,DnG,"1,799,440,629",DnG,"2,829,301,311","5,615,671","968,268,043","3,013,993,983","17,889,778",24,37,26,6
228,SEAL,12434492724,1037513668,8.34%,33013411074,157762994,33004826275,165,75309089,60,41,19,6,2,0,"12,175,524,174","14,938,890,489",524,556,"28,488,770","26,868,508",0,0,8,504,SEAL,"12,175,524,174",SEAL,"12,434,492,724","1,037,513,668","33,013,411,074","33,004,826,275","157,762,994",118,9,19,3
229,KIN',9869544162,802063753,8.13%,17695718883,112196090,18787786173,129,74649067,27,35,22,1,2,0,"7,766,985,105","10,510,769,498",217,239,"48,380,593","43,978,115",0,0,10,198,KIN',"7,766,985,105",KIN',"9,869,544,162","802,063,753","17,695,718,883","18,787,786,173","112,196,090",41,19,24,1
230,TO30,1906021566,15502704,0.81%,684805274,13183644,1807592570,33,45185487,1,1,0,1,0,0,"1,486,275,401","2,251,477,704",105,115,"21,366,846","19,578,067",0,0,7,88,TO30,"1,486,275,401",TO30,"1,906,021,566","15,502,704","684,805,274","1,807,592,570","13,183,644",21,25,14,50
231,!HF!,4735897142,12689609,0.27%,1947488334,27998692,5106812339,91,46620912,11,4,0,0,0,0,"4,857,364,473","5,130,962,582",170,180,"30,123,414","28,505,348",107,69,5,164,!HF!,"4,857,364,473",!HF!,"4,735,897,142","12,689,609","1,947,488,334","5,106,812,339","27,998,692",29,49,39,39
232,YBD,8735706574,525296008,6.01%,10569535061,98718301,16623946102,141,58605977,30,20,7,2,1,0,"8,003,139,921","9,459,147,517",258,263,"36,652,475","35,966,340",0,0,9,242,YBD,"8,003,139,921",YBD,"8,735,706,574","525,296,008","10,569,535,061","16,623,946,102","98,718,301",46,35,48,0
233,SHP&,2845303611,14688687,0.52%,1563889307,22034017,2908970801,62,44251102,8,2,0,0,0,0,"2,311,017,821","3,068,581,501",107,127,"28,596,044","24,162,059",38,32,9,100,SHP&,"2,311,017,821",SHP&,"2,845,303,611","14,688,687","1,563,889,307","2,908,970,801","22,034,017",10,32,21,9
234,KofK,2114174088,9971446,0.47%,1116630469,11080639,2562993284,42,44360483,5,2,0,0,0,0,"1,760,913,248","2,321,469,214",79,98,"29,170,965","23,688,461",31,24,10,76,KofK,"1,760,913,248",KofK,"2,114,174,088","9,971,446","1,116,630,469","2,562,993,284","11,080,639",14,25,15,116
235,ANGE,6118852190,23088772,0.38%,3369036010,37721581,7881131278,104,54824432,23,8,2,0,0,0,"5,410,988,881","6,438,148,216",170,175,"37,854,340","36,789,418",117,82,8,154,ANGE,"5,410,988,881",ANGE,"6,118,852,190","23,088,772","3,369,036,010","7,881,131,278","37,721,581",19,33,50,0
236,EXE#,3445421193,5940806,0.17%,1797726546,25623138,4173013629,63,49751099,10,6,1,0,0,0,"2,520,262,474","3,692,047,982",108,121,"34,087,363","30,512,793",39,36,9,99,EXE#,"2,520,262,474",EXE#,"3,445,421,193","5,940,806","1,797,726,546","4,173,013,629","25,623,138",13,31,26,53
237,CLKS,1531671754,9768125,0.64%,1483849625,15404441,2216737264,31,48281155,5,3,0,0,0,0,"1,192,047,266","1,631,095,695",49,56,"33,225,226","29,126,709",25,20,6,39,CLKS,"1,192,047,266",CLKS,"1,531,671,754","9,768,125","1,483,849,625","2,216,737,264","15,404,441",6,10,11,38
238,WHOG,4090426122,148497476,3.63%,3395883992,37439345,6473301168,77,49613478,16,3,2,0,0,0,"1,668,734,400","4,431,296,787",136,149,"32,535,566","29,740,247",0,0,7,119,"WHOG,W~W","3,218,619,020","WHOG,W~W","4,090,426,122","148,497,476","3,395,883,992","6,473,301,168","37,439,345",21,34,27,15
239,BeSt,5599349539,50222392,0.90%,4632214041,37350890,6682069485,92,50041724,6,6,5,0,0,0,"5,521,301,076","6,127,567,771",226,235,"27,088,272","26,074,756",162,78,5,214,BeSt,"5,521,301,076",BeSt,"5,599,349,539","50,222,392","4,632,214,041","6,682,069,485","37,350,890",35,59,44,0
240,ARKW,6404059073,358709071,5.60%,8245536439,74696756,11985927399,98,62440990,18,19,8,2,0,0,"4,161,628,831","6,747,243,682",163,186,"41,311,676","36,275,504",0,0,5,119,ARKW,"4,161,628,831",ARKW,"6,404,059,073","358,709,071","8,245,536,439","11,985,927,399","74,696,756",20,29,26,3
241,~PxR,2241508387,2159506,0.10%,1608935004,18807489,2534917452,44,43647030,4,1,1,0,0,0,"1,562,860,513","2,502,940,323",99,114,"25,196,308","21,955,617",32,19,9,99,~PxR,"1,562,860,513",~PxR,"2,241,508,387","2,159,506","1,608,935,004","2,534,917,452","18,807,489",19,26,18,3
242,GT_A,2604940298,47679302,1.83%,1856892413,29432220,3407506442,50,50321264,7,3,1,0,0,0,"2,365,388,923","2,781,645,013",86,96,"32,272,287","28,975,469",0,0,8,76,GT_A,"2,365,388,923",GT_A,"2,604,940,298","47,679,302","1,856,892,413","3,407,506,442","29,432,220",10,18,22,14
243,iFap,10042461402,991501286,9.87%,26694888207,117447237,25126144859,141,68954136,36,35,12,2,4,0,"8,311,243,466","11,088,126,243",301,331,"36,801,237","33,498,871",0,0,9,274,"iFap,2Fap","9,379,832,232","iFap,2Fap","10,042,461,402","991,501,286","26,694,888,207","25,126,144,859","117,447,237",62,29,16,1
244,TG:&,2673481595,51737491,1.94%,4275224154,35263075,5151483571,33,77466453,7,11,7,0,0,0,"2,148,066,447","2,848,578,646",65,76,"43,743,645","37,481,298",0,0,5,62,TG:&,"2,148,066,447",TG:&,"2,673,481,595","51,737,491","4,275,224,154","5,151,483,571","35,263,075",7,6,5,13
