KD,#1 Ally,Top 300 Power,Top 300 Merits,M/P,Top 300 Kills,Top 300 Deads,Top 300 Heals,CH25,CH25 AP,10M,20M,30M,40M,50M,80M+,100M+,125M+,150M+,200M+,250M+,300M+,Total KD Power,#1 Ally Power,CH16,Lords,CH16 AP,Lords AP,60M+,CH16 Kvk,CH25 Kvk,Allies,Ally Lords,Unique Alliances in KD,Top 600 Power,Top 600 Merits,Top 600 Kills,Top 600 Heals,Top 600 Deads,10-20M,20-40M,40-60M,,
179,EGO!,6841359301,27051053,0.40%,12845653305,78552704,16595843963,99,67288717,"7,563,033,728",28,13,2,0,0,0,0,0,0,0,0,0,53,210,"35,841,279",369,"20,496,026",161,90,8,203,"6,500,416,482",EGO!,"6,500,416,482",EGO!,"6,841,359,301","27,051,053","12,845,653,305","16,595,843,963","78,552,704",35,10,38
180,~CS,7274530343,25475750,0.35%,7758924250,57853497,12991657743,118,57643510,"7,870,199,055",24,14,1,0,0,0,0,0,0,0,0,0,44,233,"33,620,500",390,"20,179,998",154,104,7,190,"6,628,830,210",~CS,"6,628,830,210",~CS,"7,274,530,343","25,475,750","7,758,924,250","12,991,657,743","57,853,497",35,44,37
181,KoNG,1733051409,38804257,2.24%,1764445473,16877222,2869308087,24,67809906,"1,965,030,781",10,6,1,0,0,1,0,0,0,0,0,0,11,62,"31,245,545",190,"10,342,267",0,0,6,53,"1,531,953,816",KoNG,"1,531,953,816",KoNG,"1,733,051,409","38,804,257","1,764,445,473","2,869,308,087","16,877,222",10,10,6
182,~HP,1639625282,1809270,0.11%,2072653870,12993940,2748158079,25,55406197,"1,853,765,851",5,3,0,0,0,0,0,0,0,0,0,0,10,74,"24,565,802",227,"8,166,369",22,10,6,62,"1,428,650,052",~HP,"1,428,650,052",~HP,"1,639,625,282","1,809,270","2,072,653,870","2,748,158,079","12,993,940",13,12,7
183,A2G!,22187381225,3501264455,15.78%,91012035625,357472770,73588002822,173,128627473,"24,875,058,507",161,143,84,41,8,150,75,33,11,1,4,2,163,517,"48,027,335",599,"41,527,644",0,0,9,518,"21,242,141,915","A2G!,A3G!","22,279,867,557","A2G!,A3G!","22,187,381,225","3,501,264,455","91,012,035,625","73,588,002,822","357,472,770",131,3,1
184,SHP-,8975624927,672323546,7.49%,15534121457,148346035,22130345166,119,73569242,"9,367,039,915",44,17,2,0,0,17,2,1,0,0,0,0,83,177,"52,718,612",335,"27,961,313",0,0,7,179,"8,050,963,556",SHP-,"8,050,963,556",SHP-,"8,975,624,927","672,323,546","15,534,121,457","22,130,345,166","148,346,035",20,9,30
185,TGV,8473733549,311024950,3.67%,6117113450,90795800,13745203146,140,57792114,"8,892,135,978",22,8,1,0,0,5,0,0,0,0,0,0,57,222,"39,928,939",368,"24,163,413",0,0,6,182,"6,769,990,228","TGV,TGVm","7,849,546,561","TGV,TGVm","8,473,733,549","311,024,950","6,117,113,450","13,745,203,146","90,795,800",23,38,53
186,ERA,1819962772,9456880,0.52%,2594641858,18685674,3638303840,25,67674718,"2,013,220,373",11,4,0,0,0,0,0,0,0,0,0,0,15,59,"33,500,183",221,"9,109,594",0,0,6,56,"1,751,481,403",ERA,"1,751,481,403",ERA,"1,819,962,772","9,456,880","2,594,641,858","3,638,303,840","18,685,674",9,10,3
187,,1232463319,4588795,0.37%,1566770444,11170066,2189156328,18,61449014,"1,351,702,890",5,3,0,0,0,0,0,0,0,0,0,0,9,42,"31,488,328",191,"7,076,978",0,0,7,28,,,,,"1,232,463,319","4,588,795","1,566,770,444","2,189,156,328","11,170,066",9,5,4
188,PUPZ,9920563089,701202936,7.07%,12970661057,120919677,18828889239,145,64433138,"10,450,942,967",45,21,2,0,0,22,7,4,1,1,0,0,75,252,"41,332,109",393,"26,592,730",0,0,7,242,"8,843,584,768","PUPZ,catz","9,952,410,096","PUPZ,catz","9,920,563,089","701,202,936","12,970,661,057","18,828,889,239","120,919,677",28,42,41
189,F33T,9117328783,49656988,0.54%,15663215425,125726592,20264222086,142,60804619,"9,879,089,610",27,14,3,1,0,0,0,0,0,0,0,0,59,264,"37,316,084",390,"25,330,999",206,127,4,235,"7,977,392,718",F33T,"7,977,392,718",F33T,"9,117,328,783","49,656,988","15,663,215,425","20,264,222,086","125,726,592",34,38,54
190,-DRE,3068664821,19654788,0.64%,2967227065,40404123,4506229945,58,45562435,"3,421,181,330",2,1,1,0,0,0,0,0,0,0,0,0,9,132,"25,658,376",307,"11,143,913",51,33,10,106,"2,535,594,817",-DRE,"2,535,594,817",-DRE,"3,068,664,821","19,654,788","2,967,227,065","4,506,229,945","40,404,123",19,34,27
191,K191,10141214023,971901448,9.58%,18718016631,118322466,27817354476,131,75503661,"12,078,133,773",64,22,2,1,0,39,6,1,0,0,0,0,93,435,"27,677,286",601,"20,096,728",0,0,19,393,"9,458,329,829",K191,"9,458,329,829",K191,"10,141,214,023","971,901,448","18,718,016,631","27,817,354,476","118,322,466",92,16,22
192,DG!,2300612384,11615648,0.50%,2408658953,18774616,3402107766,36,56452108,"2,630,822,647",7,4,0,0,0,0,0,0,0,0,0,0,14,98,"26,507,415",250,"10,523,291",0,0,8,93,"1,372,107,307",DG!,"1,372,107,307",DG!,"2,300,612,384","11,615,648","2,408,658,953","3,402,107,766","18,774,616",16,19,9
193,~AI~,10907444862,1009765454,9.26%,19480368368,115984767,25316106890,141,75672620,"11,548,147,425",66,30,7,1,1,42,10,2,0,0,0,0,97,247,"46,634,962",392,"29,459,560",0,0,7,208,"9,420,605,235",~AI~,"9,420,605,235",~AI~,"10,907,444,862","1,009,765,454","19,480,368,368","25,316,106,890","115,984,767",33,24,22
194,NulI,17366002863,3009137369,17.33%,69343151723,239766628,52926858139,149,116924478,"18,854,232,429",131,117,53,20,5,121,65,31,15,6,3,1,135,414,"45,460,664",553,"34,094,453",0,0,6,400,"16,597,546,718",NulI,"16,597,546,718",NulI,"17,366,002,863","3,009,137,369","69,343,151,723","52,926,858,139","239,766,628",55,6,2
195,BP's,5689438146,245399803,4.31%,4317579383,73579999,9784605204,96,54416246,"6,155,002,552",7,2,0,0,0,5,1,0,0,0,0,0,35,184,"33,246,837",347,"17,737,760",0,0,7,173,"4,843,943,819",BP's,"4,843,943,819",BP's,"5,689,438,146","245,399,803","4,317,579,383","9,784,605,204","73,579,999",20,35,39
196,V-TR,7567608092,557885541,7.37%,14727017089,107962520,19598965126,111,65624974,"8,571,559,157",30,12,3,0,0,13,6,1,1,1,0,0,69,269,"31,743,908",421,"20,359,998",0,0,13,236,"7,229,484,209",V-TR,"7,229,484,209",V-TR,"7,567,608,092","557,885,541","14,727,017,089","19,598,965,126","107,962,520",62,23,19
197,MFS!,9114305384,861658346,9.45%,16477839725,124058981,21413079660,118,76140949,"9,752,070,091",55,27,6,0,0,36,4,1,1,0,0,0,79,230,"42,277,843",400,"24,380,175",0,0,12,194,"6,932,801,742","MFS!,FFS!","8,071,624,599","MFS!,FFS!","9,114,305,384","861,658,346","16,477,839,725","21,413,079,660","124,058,981",31,17,24
198,-NS-,11002338019,613421124,5.58%,11192424293,128332709,22426018220,177,57850323,"11,589,119,958",23,9,0,0,0,17,5,2,0,0,0,0,77,308,"37,519,314",458,"25,303,755",0,0,8,291,"9,258,828,185",-NS-,"9,258,828,185",-NS-,"11,002,338,019","613,421,124","11,192,424,293","22,426,018,220","128,332,709",29,57,64
199,Oce3,5056070284,50016381,0.99%,2514814988,54059489,5689277535,91,49991183,"5,387,975,993",7,2,1,0,0,1,0,0,0,0,0,0,20,156,"34,352,645",325,"16,578,388",0,0,9,173,"4,602,271,623",Oce3,"4,602,271,623",Oce3,"5,056,070,284","50,016,381","2,514,814,988","5,689,277,535","54,059,489",21,38,45
200,WRTH,4380209719,129576863,2.96%,5413333843,62235881,8359097552,86,48994099,"4,775,072,488",11,4,0,0,0,4,1,0,0,0,0,0,21,160,"29,581,284",330,"14,469,917",65,43,15,133,"2,335,067,929",WRTH,"2,335,067,929",WRTH,"4,380,209,719","129,576,863","5,413,333,843","8,359,097,552","62,235,881",19,41,26
201,UNIQ,6038302668,792750967,13.13%,16161568924,115568405,16755067557,76,78967673,"6,853,348,624",32,20,6,4,1,28,9,6,2,1,0,0,53,199,"34,284,699",352,"19,469,740",0,0,5,174,"6,219,490,226",UNIQ,"6,219,490,226",UNIQ,"6,038,302,668","792,750,967","16,161,568,924","16,755,067,557","115,568,405",42,6,12
202,OoC,8902396201,413072854,4.64%,7183305849,101100713,15132526202,138,58413660,"9,302,723,204",17,5,3,3,1,11,2,0,0,0,0,0,54,242,"38,313,376",389,"23,914,456",0,0,9,253,"7,559,215,067","OoC,OoC2","8,682,795,637","OoC,OoC2","8,902,396,201","413,072,854","7,183,305,849","15,132,526,202","101,100,713",22,51,59
203,woIf,16937917188,49507119,0.29%,39923263387,162183086,45015410592,202,82349598,"18,635,640,100",114,52,4,1,1,0,0,0,0,0,0,0,169,465,"40,003,420",595,"31,320,404",370,184,8,444,"15,038,447,132","woIf,DEN","16,212,069,829","woIf,DEN","16,937,917,188","49,507,119","39,923,263,387","45,015,410,592","162,183,086",80,16,21
204,DiP,9043678738,932791819,10.31%,18799503721,126354523,23816022926,114,78537726,"9,761,530,241",53,24,9,1,0,39,7,1,0,0,0,0,84,222,"43,828,138",379,"25,756,016",0,0,8,196,"7,967,626,811","DiP,SIP","8,984,168,351","DiP,SIP","9,043,678,738","932,791,819","18,799,503,721","23,816,022,926","126,354,523",24,8,21
205,:SE:,7158721129,145325284,2.03%,7227801628,85901829,12949328829,113,60328937,"7,489,389,216",22,9,1,0,0,3,0,0,0,0,0,0,54,181,"41,214,554",326,"22,973,587",0,0,8,159,"6,100,049,136",:SE:,"6,100,049,136",:SE:,"7,158,721,129","145,325,284","7,227,801,628","12,949,328,829","85,901,829",20,28,36
206,MOJE,2235479122,85330959,3.82%,2721080319,19552510,4018624585,41,48306389,"2,487,906,542",4,3,0,0,0,3,1,0,0,0,0,0,11,98,"25,025,496",267,"9,318,002",0,0,8,71,"1,652,701,881",MOJE,"1,652,701,881",MOJE,"2,235,479,122","85,330,959","2,721,080,319","4,018,624,585","19,552,510",12,24,11
207,HAM!,5404119145,64696239,1.20%,2596551748,53473731,8482933906,89,54531454,"5,922,157,467",2,0,0,0,0,0,0,0,0,0,0,0,30,182,"32,386,911",338,"17,521,176",102,69,5,164,"4,708,518,295",HAM!,"4,708,518,295",HAM!,"5,404,119,145","64,696,239","2,596,551,748","8,482,933,906","53,473,731",22,27,47
208,-SyY,1688914646,161505088,9.56%,4720022030,30792053,3461833900,34,44476984,"2,237,910,869",2,1,1,0,0,4,3,1,1,1,0,0,4,127,"17,380,153",265,"8,444,947",0,0,16,117,"1,830,981,330",-SyY,"1,830,981,330",-SyY,"1,688,914,646","161,505,088","4,720,022,030","3,461,833,900","30,792,053",27,23,12
209,-DC-,10888024268,259185379,2.38%,14561617420,100823121,20648339812,148,68669493,"11,569,157,658",46,25,7,2,0,4,1,0,0,0,0,0,81,275,"41,970,563",416,"27,810,475",231,140,6,262,"6,262,439,632","-DC-,DAD-","10,258,325,699","-DC-,DAD-","10,888,024,268","259,185,379","14,561,617,420","20,648,339,812","100,823,121",33,43,43
210,EoW,5221973147,127606762,2.44%,2587570641,60306173,7599099536,86,55563092,"5,488,961,354",7,1,0,0,0,3,0,0,0,0,0,0,35,157,"34,756,377",330,"16,633,216",0,0,6,135,"4,944,132,144",EoW,"4,944,132,144",EoW,"5,221,973,147","127,606,762","2,587,570,641","7,599,099,536","60,306,173",14,25,37
211,K211,18583160443,3241364125,17.44%,68049745716,304573084,64600909385,216,87267165,"22,215,297,937",144,88,25,10,0,152,53,20,6,4,0,0,173,598,"37,149,328",598,"37,149,328",0,0,6,539,"17,230,364,653","K211,211F,DvF","20,818,963,693","K211,211F,DvF","18,583,160,443","3,241,364,125","68,049,745,716","64,600,909,385","304,573,084",183,7,7
212,Nous,4868856652,338604097,6.95%,4981003661,66269729,9024064575,81,56067532,"5,325,347,388",12,3,0,0,0,14,3,0,0,0,0,0,30,160,"33,105,188",303,"17,575,404",0,0,8,138,"3,997,231,425",Nous,"3,997,231,425",Nous,"4,868,856,652","338,604,097","4,981,003,661","9,024,064,575","66,269,729",22,28,30
213,VNWE,1972905262,605844,0.03%,790563574,14465428,1883618966,36,50443716,"2,223,355,062",3,3,0,0,0,0,0,0,0,0,0,0,9,77,"28,494,524",241,"9,225,540",16,10,6,59,"1,605,894,308",VNWE,"1,605,894,308",VNWE,"1,972,905,262","605,844","790,563,574","1,883,618,966","14,465,428",13,16,13
214,KL7,5816412655,12295373,0.21%,9548721559,52117799,13849075756,99,55287091,"6,348,439,234",12,1,0,0,0,0,0,0,0,0,0,0,38,186,"33,967,552",351,"18,086,721",87,59,8,202,"4,335,533,001","KL7,KL7F","5,405,312,913","KL7,KL7F","5,816,412,655","12,295,373","9,548,721,559","13,849,075,756","52,117,799",30,29,39
215,-SSL,3827281673,256780360,6.71%,5449030313,43150654,8489372697,62,58999171,"4,437,192,176",12,7,1,0,0,7,2,0,0,0,0,0,28,146,"30,160,359",312,"14,221,770",0,0,5,152,"4,078,357,722",-SSL,"4,078,357,722",-SSL,"3,827,281,673","256,780,360","5,449,030,313","8,489,372,697","43,150,654",34,13,22
216,WAN,8690129690,223151978,2.57%,7603680770,75553478,14898033686,135,60236913,"9,173,894,157",29,7,3,1,1,2,0,0,0,0,0,0,62,226,"40,463,808",381,"24,078,462",0,0,8,229,"7,640,828,686",WAN,"7,640,828,686",WAN,"8,690,129,690","223,151,978","7,603,680,770","14,898,033,686","75,553,478",36,40,41
217,ABVG,7863503474,501014221,6.37%,7905943477,85740306,13934060996,116,64047289,"8,402,177,608",32,12,1,0,0,16,2,0,0,0,0,0,58,206,"40,632,851",337,"24,932,278",0,0,7,182,"6,730,760,851","ABVG,ABLG","7,846,238,931","ABVG,ABLG","7,863,503,474","501,014,221","7,905,943,477","13,934,060,996","85,740,306",34,19,44
218,-NVD,9087041219,1129066205,12.43%,17846526045,132145872,20848857712,102,85659491,"9,722,522,599",62,38,6,1,0,54,16,3,1,0,0,0,79,196,"49,437,796",392,"24,802,354",0,0,9,238,"9,018,145,920",-NVD,"9,018,145,920",-NVD,"9,087,041,219","1,129,066,205","17,846,526,045","20,848,857,712","132,145,872",37,12,18
219,:MM:,2391089505,16970107,0.71%,4168649193,28883424,5261278310,33,70213617,"2,710,058,431",14,8,1,1,0,0,0,0,0,0,0,0,21,101,"26,590,999",276,"9,819,052",29,18,9,64,"2,210,209,743",:MM:,"2,210,209,743",:MM:,"2,391,089,505","16,970,107","4,168,649,193","5,261,278,310","28,883,424",15,6,3
220,D~C,1741820449,25723433,1.48%,3847298091,23631525,3900256886,21,82943831,"1,979,459,389",12,7,1,0,0,1,0,0,0,0,0,0,16,53,"36,693,871",225,"8,797,597",0,0,7,43,"1,255,485,770",D~C,"1,255,485,770",D~C,"1,741,820,449","25,723,433","3,847,298,091","3,900,256,886","23,631,525",8,4,1
221,21SW,20203069971,4352237180,21.54%,88527817467,407390668,72352442791,239,86988249,"24,721,294,498",174,119,30,14,2,174,106,48,13,4,1,1,178,598,"41,339,957",598,"41,339,957",0,0,18,567,"19,639,411,460","21SW,SW_2","20,794,002,115","21SW,SW_2","20,203,069,971","4,352,237,180","88,527,817,467","72,352,442,791","407,390,668",251,10,2
222,HOUW,4360034208,407116804,9.34%,7741987585,53852872,9746785263,62,68713788,"4,722,786,922",31,14,1,0,0,16,7,2,1,1,0,0,37,127,"36,920,697",301,"15,690,322",0,0,7,88,"3,691,701,190",HOUW,"3,691,701,190",HOUW,"4,360,034,208","407,116,804","7,741,987,585","9,746,785,263","53,852,872",19,18,6
223,,1457840345,15759607,1.08%,2928895019,17465785,3138923294,20,69071259,"1,786,721,424",9,6,0,0,0,1,0,0,0,0,0,0,12,93,"18,904,975",298,"5,995,709",0,0,12,91,,,,,"1,457,840,345","15,759,607","2,928,895,019","3,138,923,294","17,465,785",10,5,3
224,H_P,9633854402,41745156,0.43%,19089141118,96414511,22853997435,127,74598720,"10,459,933,832",62,25,5,2,0,0,0,0,0,0,0,0,86,251,"41,553,398",390,"26,820,343",160,112,6,235,"9,071,253,664",H_P,"9,071,253,664",H_P,"9,633,854,402","41,745,156","19,089,141,118","22,853,997,435","96,414,511",49,14,20
225,25IL,23940351129,4218650871,17.62%,100022196743,404419755,84094209650,257,95838401,"28,559,163,096",198,146,56,23,5,193,83,29,12,4,2,0,203,600,"47,598,605",600,"47,598,605",0,0,16,576,"21,651,694,813","25IL,25IS,25IW","24,767,644,365","25IL,25IS,25IW","23,940,351,129","4,218,650,871","100,022,196,743","84,094,209,650","404,419,755",279,2,0
226,AD1,15955880528,2625313132,16.45%,50141880941,205292113,48393257079,170,94357497,"18,158,244,561",122,82,21,9,1,125,44,12,5,3,1,0,153,421,"43,069,722",570,"31,856,569",0,0,10,383,"15,268,408,359","AD1,AD2","16,778,804,884","AD1,AD2","15,955,880,528","2,625,313,132","50,141,880,941","48,393,257,079","205,292,113",109,4,3
227,DnG,6531408278,36936617,0.57%,5255917982,49156638,10657894511,120,48964517,"6,986,554,314",9,3,2,0,0,0,0,0,0,0,0,0,28,222,"31,361,169",354,"19,736,029",111,77,12,207,"3,892,657,226",DnG,"3,892,657,226",DnG,"6,531,408,278","36,936,617","5,255,917,982","10,657,894,511","49,156,638",30,58,48
228,SEAL,13316920200,2047021336,15.37%,41344772327,189584846,43900659563,170,79485340,"16,726,891,064",104,47,10,1,0,96,27,8,4,2,0,0,137,600,"27,878,152",600,"27,878,152",0,0,11,567,"12,830,031,590",SEAL,"12,830,031,590",SEAL,"13,316,920,200","2,047,021,336","41,344,772,327","43,900,659,563","189,584,846",166,5,3
229,KIN',13229725766,1242502453,9.39%,30181427157,180711556,32716529767,150,86056965,"14,456,022,163",92,57,11,5,0,45,18,4,0,0,0,0,117,309,"46,651,545",582,"24,838,526",0,0,12,329,"11,670,956,423","KIN',KN_2","12,770,463,516","KIN',KN_2","13,229,725,766","1,242,502,453","30,181,427,157","32,716,529,767","180,711,556",69,19,18
230,TO30,2223878711,16846406,0.76%,692739502,12695583,2188593085,45,44633442,"2,498,849,753",1,1,1,0,0,0,0,0,0,0,0,0,9,102,"24,174,319",283,"8,829,858",0,0,6,117,"1,696,319,446",TO30,"1,696,319,446",TO30,"2,223,878,711","16,846,406","692,739,502","2,188,593,085","12,695,583",12,29,12
231,'CE',6293431914,22779796,0.36%,4902760763,47607142,9287883122,110,52224750,"6,641,168,270",11,5,1,0,0,0,0,0,0,0,0,0,38,182,"36,311,848",332,"20,003,519",124,92,7,190,"5,637,287,721",'CE',"5,637,287,721",'CE',"6,293,431,914","22,779,796","4,902,760,763","9,287,883,122","47,607,142",23,41,42
232,HIRE,4680524117,367332658,7.85%,5910409271,64051629,10269131870,76,57497628,"5,052,253,468",13,4,0,0,0,9,4,4,1,1,0,0,26,136,"36,874,579",336,"15,036,469",0,0,10,143,"2,891,432,194",HIRE,"2,891,432,194",HIRE,"4,680,524,117","367,332,658","5,910,409,271","10,269,131,870","64,051,629",23,20,38
233,R GT,3242165607,73143340,2.26%,3005768618,29622468,4493690833,60,52332255,"3,451,847,511",7,3,1,1,0,1,1,0,0,0,0,0,15,102,"33,598,902",254,"13,589,951",0,0,8,95,"2,748,889,394",R GT,"2,748,889,394",R GT,"3,242,165,607","73,143,340","3,005,768,618","4,493,690,833","29,622,468",6,26,21
234,KofK,6202413027,68293220,1.10%,7364435131,54695429,10269572732,107,52856852,"6,692,374,691",18,8,2,2,0,2,1,0,0,0,0,0,29,203,"32,859,803",320,"20,913,671",101,66,10,181,"5,412,865,308",KofK,"5,412,865,308",KofK,"6,202,413,027","68,293,220","7,364,435,131","10,269,572,732","54,695,429",34,56,35
235,ANGE,8285177286,302330762,3.65%,6305918467,62972627,13048101994,127,60767451,"8,915,610,041",22,8,1,0,0,7,2,0,0,0,0,0,66,238,"37,314,604",393,"22,686,031",0,0,8,227,"7,804,624,628",ANGE,"7,804,624,628",ANGE,"8,285,177,286","302,330,762","6,305,918,467","13,048,101,994","62,972,627",37,35,37
236,EXE#,3122075282,3793093,0.12%,3186432156,37705387,4794173836,46,61800739,"3,345,427,685",8,6,1,1,1,0,0,0,0,0,0,0,22,84,"39,478,452",227,"14,737,567",42,27,8,114,"2,385,257,780",EXE#,"2,385,257,780",EXE#,"3,122,075,282","3,793,093","3,186,432,156","4,794,173,836","37,705,387",21,15,11
237,KML,5463057635,10683086,0.20%,6613367715,43012170,9148978488,100,50270864,"6,010,469,542",13,8,1,0,0,0,0,0,0,0,0,0,23,197,"30,349,362",348,"17,271,464",150,91,8,176,"5,428,817,899",KML,"5,428,817,899",KML,"5,463,057,635","10,683,086","6,613,367,715","9,148,978,488","43,012,170",32,55,32
238,W~W,1787458602,1119820,0.06%,750770316,12049293,1801570225,43,37713555,"1,988,828,506",0,0,0,0,0,0,0,0,0,0,0,0,3,80,"24,512,397",214,"9,293,591",21,12,8,78,"1,029,156,822",W~W,"1,029,156,822",W~W,"1,787,458,602","1,119,820","750,770,316","1,801,570,225","12,049,293",13,32,11
239,BeSt,10122329669,37205259,0.37%,16172280972,76590802,18501829893,140,63978147,"10,885,664,607",32,22,9,2,0,0,0,0,0,0,0,0,62,305,"35,594,582",443,"24,572,606",228,117,10,299,"9,088,518,868",BeSt,"9,088,518,868",BeSt,"10,122,329,669","37,205,259","16,172,280,972","18,501,829,893","76,590,802",64,57,45
240,ARKW,4526207445,292362070,6.46%,6326094026,56770352,8797421229,66,65072213,"4,960,202,215",19,10,3,1,0,14,2,1,1,0,0,0,32,139,"35,463,088",314,"15,796,822",0,0,7,98,"3,165,542,350",ARKW,"3,165,542,350",ARKW,"4,526,207,445","292,362,070","6,326,094,026","8,797,421,229","56,770,352",21,22,16
241,-JF,1782570585,8918330,0.50%,1298906370,18141444,2145109245,40,40757358,"2,037,590,365",0,0,0,0,0,0,0,0,0,0,0,0,5,87,"23,032,481",264,"7,718,145",25,15,12,135,"1,051,454,146",-JF,"1,051,454,146",-JF,"1,782,570,585","8,918,330","1,298,906,370","2,145,109,245","18,141,444",21,17,16
242,GT_A,3162650248,82346770,2.60%,2153377364,35729971,4186284915,57,53143870,"3,355,934,816",7,4,0,0,0,2,0,0,0,0,0,0,20,92,"36,178,601",218,"15,394,196",0,0,8,79,"2,767,112,132",GT_A,"2,767,112,132",GT_A,"3,162,650,248","82,346,770","2,153,377,364","4,186,284,915","35,729,971",14,17,19
243,MYTH,3738054059,627736694,16.79%,13956783372,59952937,11334642246,42,88081265,"4,138,530,728",29,15,5,2,0,27,11,3,3,1,0,0,34,106,"38,728,602",267,"15,500,115",0,0,7,90,"3,660,390,454",MYTH,"3,660,390,454",MYTH,"3,738,054,059","627,736,694","13,956,783,372","11,334,642,246","59,952,937",17,5,4
244,TG:&,2412499805,26692984,1.11%,3503412973,41563780,4951984867,28,78630803,"2,606,849,382",16,8,0,0,0,0,0,0,0,0,0,0,22,80,"32,283,284",244,"10,683,809",8,4,12,102,"1,841,852,155",TG:&,"1,841,852,155",TG:&,"2,412,499,805","26,692,984","3,503,412,973","4,951,984,867","41,563,780",5,11,2
245,HoF',7618685744,246966658,3.24%,10592602766,107959631,15880990964,118,61359607,"8,232,803,154",29,14,2,0,0,4,0,0,0,0,0,0,54,243,"33,731,915",442,"18,626,251",129,81,11,180,"6,231,029,473",HoF',"6,231,029,473",HoF',"7,618,685,744","246,966,658","10,592,602,766","15,880,990,964","107,959,631",30,41,31
246,BoL,3779089958,75970496,2.01%,2395552076,35160754,5251228362,68,49970753,"4,169,205,420",8,2,0,0,0,0,0,0,0,0,0,0,20,133,"31,163,445",260,"16,035,405",0,0,8,121,"3,579,359,683",BoL,"3,579,359,683",BoL,"3,779,089,958","75,970,496","2,395,552,076","5,251,228,362","35,160,754",16,35,25
247,3_3,18793189437,2431684763,12.94%,68695412694,327066651,59101074098,191,100077894,"22,135,298,434",155,105,46,19,4,128,29,10,1,0,0,0,161,590,"37,507,532",595,"37,202,182",0,0,9,567,"15,993,913,066","3_3,V_V","19,086,438,990","3_3,V_V","18,793,189,437","2,431,684,763","68,695,412,694","59,101,074,098","327,066,651",159,1,1
248,OCTa,5367938097,67632338,1.26%,4207418534,50288252,6800135512,103,48725080,"5,595,447,441",7,5,1,1,0,2,0,0,0,0,0,0,25,154,"36,144,516",310,"18,049,830",0,0,5,145,"4,366,889,351",OCTa,"4,366,889,351",OCTa,"5,367,938,097","67,632,338","4,207,418,534","6,800,135,512","50,288,252",13,49,36
249,WB_A,32831345838,8112052789,24.71%,161886764913,967741761,117900503472,302,112723580,"37,937,255,130",204,194,136,86,40,202,184,143,68,49,17,11,206,599,"63,334,316",599,"63,334,316",0,0,23,587,"31,210,845,215","WB_A,WB_B","32,312,733,839","WB_A,WB_B","32,831,345,838","8,112,052,789","161,886,764,913","117,900,503,472","967,741,761",384,0,1
250,BP:B,3588683127,166192023,4.63%,3807819124,59600226,7790621297,63,54485631,"4,134,566,876",12,3,0,0,0,6,1,0,0,0,0,0,23,145,"28,318,902",326,"12,682,720",0,0,6,79,"2,264,039,614",BP:B,"2,264,039,614",BP:B,"3,588,683,127","166,192,023","3,807,819,124","7,790,621,297","59,600,226",27,27,17
251,G_D,2794708005,50441454,1.80%,3165603730,36810362,5029295543,39,66184078,"2,989,440,243",14,5,0,0,0,0,0,0,0,0,0,0,24,77,"38,418,328",250,"11,957,761",0,0,9,86,"1,751,777,589",G_D,"1,751,777,589",G_D,"2,794,708,005","50,441,454","3,165,603,730","5,029,295,543","36,810,362",8,14,7
252,S-SG,4906872194,93907829,1.91%,3778886112,43427180,6642141138,103,43379904,"5,280,671,595",5,1,1,0,0,4,0,0,0,0,0,0,14,182,"28,853,770",360,"14,668,532",0,0,14,172,"3,062,661,132",S-SG,"3,062,661,132",S-SG,"4,906,872,194","93,907,829","3,778,886,112","6,642,141,138","43,427,180",24,52,42
253,Beat,2014099384,52962954,2.63%,1658510876,10992325,2646160350,41,45999981,"2,196,353,241",2,0,0,0,0,0,0,0,0,0,0,0,10,80,"27,065,894",260,"8,447,512",21,18,6,101,"1,161,355,871",Beat,"1,161,355,871",Beat,"2,014,099,384","52,962,954","1,658,510,876","2,646,160,350","10,992,325",10,18,12
254,W2OD,2705302554,23136120,0.86%,1137934923,21694049,2563533649,47,52685921,"2,917,978,438",5,2,2,0,0,1,0,0,0,0,0,0,13,92,"31,374,447",245,"11,910,116",0,0,14,109,"2,459,291,866",W2OD,"2,459,291,866",W2OD,"2,705,302,554","23,136,120","1,137,934,923","2,563,533,649","21,694,049",11,21,18
255,`Hel,10671680751,1173947814,11.00%,25211177891,176737030,29821869215,125,84738414,"11,604,164,912",72,40,5,2,0,46,18,5,1,0,0,0,103,244,"47,353,612",461,"25,171,724",0,0,12,259,"9,604,345,958",`Hel,"9,604,345,958",`Hel,"10,671,680,751","1,173,947,814","25,211,177,891","29,821,869,215","176,737,030",46,10,12
256,~RP,9522226808,894370266,9.39%,15223802161,135139659,24274941816,136,65865893,"10,536,615,076",44,9,0,0,0,33,10,0,0,0,0,0,83,275,"38,172,136",462,"22,806,526",0,0,8,241,"8,262,091,128","~RP,WwV","9,415,603,322","~RP,WwV","9,522,226,808","894,370,266","15,223,802,161","24,274,941,816","135,139,659",47,38,28
257,DGN~,7148690086,314594824,4.40%,6815747727,64387124,11104328114,122,55511118,"7,619,275,530",18,10,2,0,0,7,3,2,0,0,0,0,44,225,"33,731,016",383,"19,893,670",0,0,5,200,"5,578,450,073","DGN~,DRMS","6,719,940,407","DGN~,DRMS","7,148,690,086","314,594,824","6,815,747,727","11,104,328,114","64,387,124",30,38,42
