KD,#1 Ally,Top 300 Power,Top 300 Merits,M/P,Top 300 Kills,Top 300 Deads,Top 300 Heals,CH25,CH25 AP,10M,20M,30M,40M,50M,80M+,100M+,125M+,150M+,200M+,250M+,300M+,Total KD Power,#1 Ally Power,CH16,Lords,CH16 AP,Lords AP,60M+,CH16 Kvk,CH25 Kvk,Allies,Ally Lords,Unique Alliances in KD,Top 600 Power,Top 600 Merits,Top 600 Kills,Top 600 Heals,Top 600 Deads,10-20M,20-40M,40-60M
201,FFA1,11134790718,1333618537,11.98%,40886166428,236194700,35402592569,100,111776694,51,25,14,4,2,64,53,35,26,12,6,3,"12,892,179,465","10,087,933,033",331,483,"38,866,452","26,691,883",76,0,0,6,246,"FFA1,FFA-","11,134,790,718","1,333,618,537","40,886,166,428","35,402,592,569","236,194,700",92,2,6
202,OoC,10374654138,531310409,5.12%,10425261954,134673985,19084203798,152,63522404,13,3,1,1,1,32,11,4,4,1,0,0,"10,770,500,796","6,741,760,093",244,396,"43,996,684","27,198,234",75,0,0,9,238,"OoC,OoC2","10,374,654,138","531,310,409","10,425,261,954","19,084,203,798","134,673,985",27,46,49
203,woIf,13496793135,1720243434,12.75%,35157500132,161449954,40044071525,156,85074155,72,23,6,2,1,97,51,4,1,1,0,0,"14,954,254,419","12,005,122,491",384,567,"38,844,599","26,374,346",127,0,0,7,348,"woIf,DEN","13,496,793,135","1,720,243,434","35,157,500,132","40,044,071,525","161,449,954",66,16,17
204,SIP,6234718895,420999975,6.75%,12179451375,91088942,16211943437,73,84098258,12,1,0,0,0,41,25,6,0,0,0,0,"6,774,948,236","5,455,932,147",155,309,"43,510,551","21,925,399",56,0,0,8,124,SIP,"6,234,718,895","420,999,975","12,179,451,375","16,211,943,437","91,088,942",21,8,10
205,:SE:,7253835749,180953854,2.49%,8018666659,86404082,13133644855,111,63181742,4,2,0,0,0,29,14,1,0,0,0,0,"7,607,110,818","6,160,967,502",176,323,"43,039,034","23,551,427",56,0,0,8,151,:SE:,"7,253,835,749","180,953,854","8,018,666,659","13,133,644,855","86,404,082",20,29,28
206,MOJE,2183802342,41891167,1.92%,2540229209,18908465,3678165074,41,46398415,2,0,0,0,0,4,3,0,0,0,0,0,"2,437,354,458","1,510,596,011",97,272,"24,721,106","8,960,862",9,0,0,10,67,MOJE,"2,183,802,342","41,891,167","2,540,229,209","3,678,165,074","18,908,465",13,27,10
207,HAM!,5074289714,1153758,0.02%,2255950996,44163496,7457473258,79,57754934,0,0,0,0,0,3,1,0,0,0,0,0,"5,480,685,639","4,247,777,974",157,315,"34,722,999","17,399,002",33,80,57,5,141,HAM!,"5,074,289,714","1,153,758","2,255,950,996","7,457,473,258","44,163,496",20,24,35
208,-SyY,1666398616,164177697,9.85%,5229655561,34224127,3776330345,32,46177894,5,3,1,1,0,2,1,0,0,0,0,0,"2,157,477,346","1,796,902,807",133,284,"16,008,797","7,596,751",7,0,0,14,144,-SyY,"1,666,398,616","164,177,697","5,229,655,561","3,776,330,345","34,224,127",27,22,8
209,DAD-,10589558693,177401286,1.68%,15336849710,100767974,21212584659,133,75491324,2,0,0,0,0,51,30,7,2,0,0,0,"11,296,759,043","8,832,522,454",246,391,"45,802,986","28,891,967",85,199,122,6,231,"DAD-,-DC-","10,589,558,693","177,401,286","15,336,849,710","21,212,584,659","100,767,974",39,27,32
210,EoW,6124092246,218347289,3.57%,3779690028,81531249,10324797514,97,58097052,5,0,0,0,0,17,2,0,0,0,0,0,"6,457,359,220","5,281,668,044",184,360,"34,906,693","17,937,109",43,0,0,6,158,EoW,"6,124,092,246","218,347,289","3,779,690,028","10,324,797,514","81,531,249",20,27,37
211,K211,10847200149,1676156101,15.45%,42271510168,223657372,41072450330,134,83120894,84,32,11,3,1,85,61,19,6,2,0,0,"12,996,805,487","9,945,363,984",349,529,"37,140,754","24,568,630",95,0,0,8,306,K211,"10,847,200,149","1,676,156,101","42,271,510,168","41,072,450,330","223,657,372",112,6,3
212,Nous,5519470519,255379157,4.63%,5946967787,78903430,10549903299,84,60357621,7,0,0,0,0,21,7,0,0,0,0,0,"6,062,316,079","4,785,966,423",179,327,"33,684,402","18,539,193",41,0,0,9,161,Nous,"5,519,470,519","255,379,157","5,946,967,787","10,549,903,299","78,903,430",30,29,23
213,VNWE,1760306312,,0.00%,551692190,11916736,1505455630,29,54331491,0,0,0,0,0,3,3,0,0,0,0,0,"1,959,545,561","1,442,184,326",64,229,"30,150,919","8,556,968",11,15,10,7,45,VNWE,"1,760,306,312",,"551,692,190","1,505,455,630","11,916,736",14,13,7
214,KL7,5443974872,24018,0.00%,9370043156,49349809,12681795054,84,60795758,0,0,0,0,0,18,7,2,0,0,0,0,"5,736,937,757","4,570,924,110",145,310,"39,347,422","18,506,251",40,55,48,9,161,KL7,"5,443,974,872","24,018","9,370,043,156","12,681,795,054","49,349,809",20,22,27
215,-NWB,5220844211,496868668,9.52%,10047379698,73858024,13849735381,70,72132120,20,2,1,0,0,28,15,3,0,0,0,0,"6,015,295,744","4,950,380,418",186,351,"32,151,752","17,137,595",42,0,0,6,153,-NWB,"5,220,844,211","496,868,668","10,047,379,698","13,849,735,381","73,858,024",41,11,16
216,WAN,8997449680,294957466,3.28%,8576385966,89654435,16793033976,140,61081157,5,0,0,0,0,34,11,1,1,0,0,0,"9,540,492,635","7,791,006,975",221,381,"43,015,168","25,040,663",70,0,0,9,211,WAN,"8,997,449,680","294,957,466","8,576,385,966","16,793,033,976","89,654,435",32,44,35
217,AvG,9748049050,503896358,5.17%,11927240741,122388096,19741570390,135,68705387,12,1,0,0,0,46,17,1,0,0,0,0,"10,473,075,042","8,994,046,794",243,372,"42,993,460","28,153,428",79,0,0,6,217,AvG,"9,748,049,050","503,896,358","11,927,240,741","19,741,570,390","122,388,096",40,23,41
218,-NVD,9160998216,807086068,8.81%,19853970697,146995484,22347403635,100,89401315,32,6,2,2,1,65,41,8,3,0,0,0,"9,648,179,482","9,131,607,790",168,370,"57,231,170","26,076,161",81,0,0,9,198,-NVD,"9,160,998,216","807,086,068","19,853,970,697","22,347,403,635","146,995,484",26,11,13
219,:MM:,1819197384,937279,0.05%,3232367753,21044552,3989248595,22,79657807,0,0,0,0,0,11,8,1,1,0,0,0,"1,963,000,622","1,519,830,245",63,240,"30,745,179","8,179,169",15,2,1,5,32,:MM:,"1,819,197,384","937,279","3,232,367,753","3,989,248,595","21,044,552",8,3,4
220,,1329553225,,0.00%,2628415372,15613193,2328419491,15,87319205,0,0,0,0,0,9,6,2,1,0,0,0,"1,473,320,646",,36,211,"39,909,183","6,982,562",11,0,0,7,18,,"1,329,553,225",,"2,628,415,372","2,328,419,491","15,613,193",4,3,1
221,21SW,22345557464,3059839944,13.69%,98754558185,483749850,83545958392,254,90684865,164,39,9,4,1,187,147,54,12,2,2,1,"26,986,654,383","21,754,655,408",600,600,"44,977,757","44,977,757",187,0,0,14,570,"21SW,SW_2","22,345,557,464","3,059,839,944","98,754,558,185","83,545,958,392","483,749,850",276,9,1
222,HOUW,2009043894,33538487,1.67%,2061027790,23159180,3779647872,34,57978150,0,0,0,0,0,11,3,0,0,0,0,0,"2,236,220,785","1,341,946,415",80,251,"27,546,548","8,909,246",15,0,0,5,48,HOUW,"2,009,043,894","33,538,487","2,061,027,790","3,779,647,872","23,159,180",11,14,4
223,NH0D,1475856500,22141372,1.50%,2793497441,18650372,3168070215,22,63768407,1,0,0,0,0,7,5,1,0,0,0,0,"1,764,595,218","1,320,007,196",80,290,"21,672,152","6,084,811",9,20,10,9,88,NH0D,"1,475,856,500","22,141,372","2,793,497,441","3,168,070,215","18,650,372",10,6,7
224,H_P,11146125386,1354237629,12.15%,24302765398,133532769,28309289180,131,83209381,56,25,6,2,0,76,37,9,2,1,0,0,"12,220,708,555","9,514,157,584",333,477,"36,605,945","25,619,934",98,0,0,8,329,"H_P,TB86","11,146,125,386","1,354,237,629","24,302,765,398","28,309,289,180","133,532,769",35,15,21
225,25IW,23982411759,3217233657,13.41%,108502538377,435335104,91359580017,262,94762340,158,47,15,5,3,192,167,66,31,5,2,1,"28,543,093,202","23,876,348,224",600,600,"47,571,822","47,571,822",194,0,0,28,579,"25IW,25IR","23,982,411,759","3,217,233,657","108,502,538,377","91,359,580,017","435,335,104",256,2,0
226,AD2,14346310629,1905639435,13.28%,48970599891,195480675,47789265174,147,98166675,93,23,6,3,0,112,87,23,8,1,1,0,"16,405,946,473","14,403,192,034",393,542,"41,687,976","30,269,274",130,0,0,10,368,AD2,"14,346,310,629","1,905,639,435","48,970,599,891","47,789,265,174","195,480,675",111,4,2
227,DnG,5201734832,172801783,3.32%,5013699339,29862440,8043225580,91,51015591,6,1,0,0,0,9,3,1,0,0,0,0,"5,503,860,874","3,966,977,067",160,293,"34,246,410","18,784,508",26,0,0,10,157,DnG,"5,201,734,832","172,801,783","5,013,699,339","8,043,225,580","29,862,440",27,51,26
228,SEAL,13425573695,1778373536,13.25%,44889655794,224728626,48205669359,172,80052408,85,18,5,2,2,111,59,12,2,0,0,0,"17,091,391,509","13,426,975,506",600,600,"28,485,653","28,485,653",133,0,0,13,564,SEAL,"13,425,573,695","1,778,373,536","44,889,655,794","48,205,669,359","224,728,626",176,2,2
229,KIN',12667631882,1220870544,9.64%,32363590564,200404896,35442408169,131,96098159,47,12,2,1,1,95,59,17,4,1,0,0,"14,066,352,330","11,400,254,532",287,558,"48,864,100","25,208,517",116,0,0,11,292,KIN',"12,667,631,882","1,220,870,544","32,363,590,564","35,442,408,169","200,404,896",72,6,9
230,YM30,2149904911,24267848,1.13%,1530375269,15863517,2741615636,37,51578838,1,0,0,0,0,3,2,1,0,0,0,0,"2,485,976,029","1,908,651,381",97,277,"25,301,435","8,974,643",11,0,0,6,115,YM30,"2,149,904,911","24,267,848","1,530,375,269","2,741,615,636","15,863,517",16,19,11
231,'CE',6710557646,26027467,0.39%,5695550298,64828644,10953544174,115,53514838,0,0,0,0,0,12,4,1,1,0,0,0,"7,084,243,578","6,505,258,614",190,343,"37,122,847","20,653,771",37,127,94,8,203,'CE',"6,710,557,646","26,027,467","5,695,550,298","10,953,544,174","64,828,644",25,40,47
232,HIRE,4241921695,173198583,4.08%,6675715318,63276619,10226915508,63,62706674,4,3,1,0,0,14,5,1,0,0,0,0,"4,525,027,904","2,066,946,486",117,321,"38,341,671","14,096,660",28,0,0,9,85,HIRE,"4,241,921,695","173,198,583","6,675,715,318","10,226,915,508","63,276,619",21,12,27
233,R GT,3625121378,82214300,2.27%,4274239775,30754419,5386284342,66,53613269,2,0,0,0,0,10,8,2,1,0,0,0,"3,887,169,468","2,977,875,563",112,265,"34,501,156","14,668,564",19,0,0,9,97,R GT,"3,625,121,378","82,214,300","4,274,239,775","5,386,284,342","30,754,419",14,22,21
234,KofK,5137574108,1198606,0.02%,4808031083,38777939,8384909523,95,52166274,0,0,0,0,0,15,7,1,0,0,0,0,"5,490,370,882","4,660,506,308",161,293,"33,946,172","18,738,467",28,67,48,8,163,KofK,"5,137,574,108","1,198,606","4,808,031,083","8,384,909,523","38,777,939",17,42,27
235,ANGE,8189653457,299437350,3.66%,7147140456,62994587,13404509705,122,62625979,3,1,0,0,0,26,12,3,0,0,0,0,"8,730,797,219","8,010,694,481",208,364,"41,803,262","23,985,707",63,0,0,7,205,ANGE,"8,189,653,457","299,437,350","7,147,140,456","13,404,509,705","62,994,587",34,37,33
236,EXE#,5257517936,133827232,2.55%,9071178926,70913679,9151750781,71,68182430,4,0,0,0,0,20,15,5,4,1,0,0,"5,561,795,694","4,622,146,894",126,269,"43,921,856","20,675,820",31,0,0,9,149,EXE#,"5,257,517,936","133,827,232","9,071,178,926","9,151,750,781","70,913,679",21,25,22
237,KML,5844314807,3681651,0.06%,8010914615,56343766,11463405426,95,57722641,0,0,0,0,0,18,11,1,1,0,0,0,"6,419,346,904","5,642,691,099",186,341,"34,347,152","18,825,064",33,128,81,6,166,KML,"5,844,314,807","3,681,651","8,010,914,615","11,463,405,426","56,343,766",30,37,33
238,W~W,1792588171,876652,0.05%,920885938,13951379,1994049905,40,41878934,0,0,0,0,0,0,0,0,0,0,0,0,"1,959,927,314","1,111,079,098",74,210,"26,120,210","9,332,987",5,0,0,8,66,W~W,"1,792,588,171","876,652","920,885,938","1,994,049,905","13,951,379",9,23,14
239,BeSt,11081590051,8208924,0.07%,20085890828,96353121,22430691908,143,68386069,0,0,0,0,0,39,26,11,4,1,0,0,"11,814,511,936","10,185,983,032",303,442,"38,883,603","26,729,665",66,215,120,12,296,"BeSt,VeSt","11,081,590,051","8,208,924","20,085,890,828","22,430,691,908","96,353,121",45,63,53
240,ARKW,5285192881,369586142,6.99%,12638529167,90911613,13378389504,68,73691607,13,7,1,1,0,28,15,6,3,0,0,0,"5,806,310,209","4,343,303,062",142,327,"40,653,230","17,756,300",38,0,0,5,117,ARKW,"5,285,192,881","369,586,142","12,638,529,167","13,378,389,504","90,911,613",30,26,11
241,-JF,1653006720,13905973,0.84%,1201546792,15592228,1949693517,33,44730887,0,0,0,0,0,0,0,0,0,0,0,0,"1,882,453,873","1,005,618,861",80,256,"23,097,468","7,353,335",8,0,0,10,127,-JF,"1,653,006,720","13,905,973","1,201,546,792","1,949,693,517","15,592,228",13,15,11
242,GT_A,3591585557,159328101,4.44%,2870562189,40036255,5268042948,62,55333740,5,2,1,0,0,11,5,0,0,0,0,0,"3,798,181,737","3,229,915,946",104,232,"36,242,517","16,371,473",21,0,0,7,84,GT_A,"3,591,585,557","159,328,101","2,870,562,189","5,268,042,948","40,036,255",11,24,19
243,MYTH,4061172606,731932500,18.02%,17426719478,75739549,13622018887,45,88594761,31,14,6,3,1,31,18,6,1,0,0,0,"4,511,197,959","3,929,776,387",113,279,"39,579,363","16,169,168",36,0,0,4,94,MYTH,"4,061,172,606","731,932,500","17,426,719,478","13,622,018,887","75,739,549",20,5,2
244,TG:&,3130744661,66431381,2.12%,7044458833,66519433,6989049964,36,84165896,1,0,0,0,0,22,14,2,0,0,0,0,"3,328,246,623","2,552,397,813",80,256,"41,201,380","13,000,963",27,0,0,12,114,TG:&,"3,130,744,661","66,431,381","7,044,458,833","6,989,049,964","66,519,433",10,6,4
245,HoF',6339997791,103032616,1.63%,7602676713,91316152,12982098677,100,60245505,0,0,0,0,0,26,11,0,0,0,0,0,"6,847,163,777","5,277,925,455",202,400,"33,720,100","17,117,909",44,98,60,10,156,HoF',"6,339,997,791","103,032,616","7,602,676,713","12,982,098,677","91,316,152",27,39,26
246,BoL,6306694360,133778415,2.12%,4159436528,63610656,10056219834,103,52967064,1,0,0,0,0,16,3,0,0,0,0,0,"6,673,568,001","5,573,555,927",184,317,"36,120,275","21,052,265",36,0,0,8,155,BoL,"6,306,694,360","133,778,415","4,159,436,528","10,056,219,834","63,610,656",27,52,36
247,3_3,19628380964,3359533093,17.12%,80920636923,439944923,69281669961,206,98125796,149,68,26,10,4,157,132,56,27,5,1,1,"23,194,971,429","19,199,215,330",599,601,"38,719,111","38,593,962",159,0,0,7,550,"3_3,V_V","19,628,380,964","3,359,533,093","80,920,636,923","69,281,669,961","439,944,923",171,1,1
248,OCTa,5101348079,19122619,0.37%,3520468035,43186228,6203554176,91,53055343,0,0,0,0,0,10,4,0,0,0,0,0,"5,380,772,939","4,370,735,024",144,302,"37,160,652","17,817,129",28,69,55,8,137,OCTa,"5,101,348,079","19,122,619","3,520,468,035","6,203,554,176","43,186,228",19,24,42
249,WB_A,26368009203,4291573638,16.28%,128167452018,901569374,95741923699,225,120914153,150,105,51,19,11,157,150,115,70,28,16,10,"31,051,841,969","25,906,992,629",597,597,"52,013,136","52,013,136",159,0,0,24,550,"WB_A,WB_C","26,368,009,203","4,291,573,638","128,167,452,018","95,741,923,699","901,569,374",251,0,0
250,BP:B,3871314728,122729979,3.17%,5103580839,59963044,8888404136,62,60217618,2,1,0,0,0,17,7,0,0,0,0,0,"4,197,679,798","3,138,553,974",115,298,"36,223,594","14,086,174",27,0,0,4,83,BP:B,"3,871,314,728","122,729,979","5,103,580,839","8,888,404,136","59,963,044",16,20,16
251,G_D,2839016858,72010511,2.54%,2772327177,35169848,4826372164,41,64589267,1,0,0,0,0,14,6,0,0,0,0,0,"3,032,936,835","1,671,898,764",80,248,"37,536,360","12,229,584",24,0,0,9,84,G_D,"2,839,016,858","72,010,511","2,772,327,177","4,826,372,164","35,169,848",10,15,6
252,S-SG,4136251076,38504685,0.93%,3104234722,36252121,5579802896,79,46977797,0,0,0,0,0,7,2,1,1,0,0,0,"4,537,362,749","3,128,297,890",159,345,"28,315,530","13,151,776",16,63,45,14,153,S-SG,"4,136,251,076","38,504,685","3,104,234,722","5,579,802,896","36,252,121",28,38,30
253,,1391914728,6768695,0.49%,1365264655,7936401,2144259377,26,50698921,0,0,0,0,0,2,0,0,0,0,0,0,"1,564,340,547",,60,249,"25,508,270","6,282,492",9,8,5,6,86,,"1,391,914,728","6,768,695","1,365,264,655","2,144,259,377","7,936,401",7,7,10
254,W2OD,2460492650,30989961,1.26%,1351857918,26184815,2674446930,41,55964795,0,0,0,0,0,6,2,2,0,0,0,0,"2,705,207,531","2,412,071,211",85,238,"31,443,243","11,366,418",11,39,30,14,109,W2OD,"2,460,492,650","30,989,961","1,351,857,918","2,674,446,930","26,184,815",10,13,21
255,`Hel,7417682495,426503188,5.75%,16705976867,129838050,19488772375,91,79717999,15,4,1,0,0,45,24,5,3,0,0,0,"7,850,147,932","5,758,499,505",160,373,"48,758,469","21,045,973",67,0,0,13,153,`Hel,"7,417,682,495","426,503,188","16,705,976,867","19,488,772,375","129,838,050",18,19,10
256,~RP,9639723244,935812283,9.71%,18380213503,162504660,26376773369,125,73158042,35,8,2,0,0,55,21,1,0,0,0,0,"10,725,748,593","9,468,478,482",260,438,"41,123,356","24,488,010",89,0,0,6,236,~RP,"9,639,723,244","935,812,283","18,380,213,503","26,376,773,369","162,504,660",62,27,19
257,DGN~,7577446653,200367746,2.64%,7432317620,70197144,12301757857,117,61302475,4,0,0,0,0,27,16,3,1,0,0,0,"8,028,011,712","6,567,837,433",212,373,"37,717,366","21,522,820",50,0,0,6,198,DGN~,"7,577,446,653","200,367,746","7,432,317,620","12,301,757,857","70,197,144",23,32,41
258,GOWA,7492595329,452406955,6.04%,12767154542,130135615,17408764915,96,75024169,13,3,0,0,0,39,18,5,2,1,0,0,"7,942,565,955","6,684,827,208",160,334,"49,339,037","23,780,138",64,0,0,7,153,GOWA,"7,492,595,329","452,406,955","12,767,154,542","17,408,764,915","130,135,615",23,18,22
259,G&R,15270707946,1847069301,12.10%,48445492605,316738552,46784695167,151,102390221,80,29,7,5,2,115,92,38,19,2,1,1,"19,344,461,078","14,880,739,449",567,600,"34,077,343","32,240,768",125,0,0,15,514,"G&R,GRd","15,270,707,946","1,847,069,301","48,445,492,605","46,784,695,167","316,738,552",221,3,4
260,OVO~,2792657659,48647673,1.74%,3715259063,31195775,5030327222,46,54427385,2,0,0,0,0,9,2,0,0,0,0,0,"3,166,335,308","2,155,770,147",119,303,"26,293,615","10,449,952",17,45,26,10,123,OVO~,"2,792,657,659","48,647,673","3,715,259,063","5,030,327,222","31,195,775",22,20,14
261,~MW,3343900418,38766706,1.16%,1697738674,38473045,3839168620,68,46496632,1,0,0,0,0,5,3,1,0,0,0,0,"3,578,378,919","2,634,471,053",112,278,"31,641,392","12,871,867",11,0,0,9,95,~MW,"3,343,900,418","38,766,706","1,697,738,674","3,839,168,620","38,473,045",8,30,32
262,262,4750572588,425666799,8.96%,10909692866,88890352,13651812436,56,81262784,19,3,0,0,0,31,21,2,1,0,0,0,"5,404,634,993","4,211,493,247",139,294,"38,624,057","18,383,112",40,40,24,10,120,262,"4,750,572,588","425,666,799","10,909,692,866","13,651,812,436","88,890,352",43,14,2
263,FRND,4700766804,73308483,1.56%,1973638977,53880095,5869714889,92,45790583,0,0,0,0,0,7,3,0,0,0,0,0,"4,843,046,787","3,920,447,139",137,299,"35,100,938","16,197,481",17,85,66,9,128,FRND,"4,700,766,804","73,308,483","1,973,638,977","5,869,714,889","53,880,095",20,47,34
264,VoS,3815217724,322893638,8.46%,5954334727,51990286,7407867307,54,67725824,13,2,1,0,0,17,11,1,0,0,0,0,"4,190,130,485","3,733,467,945",120,282,"34,615,318","14,858,619",31,0,0,5,101,VoS,"3,815,217,724","322,893,638","5,954,334,727","7,407,867,307","51,990,286",20,14,11
265,LOPV,3294651945,38538779,1.17%,3914800109,14527106,4800385443,49,64747805,1,0,0,0,0,16,6,0,0,0,0,0,"3,569,357,907","2,783,345,031",106,326,"33,309,303","10,948,951",27,39,28,16,118,LOPV,"3,294,651,945","38,538,779","3,914,800,109","4,800,385,443","14,527,106",15,13,9
266,RA-C,25298681390,3967877150,15.68%,117514859663,493117720,89675734355,179,142141308,159,80,38,20,9,169,161,109,67,19,8,1,"28,406,535,216","25,305,026,563",600,600,"47,344,225","47,344,225",169,0,0,16,583,"RA-C,RA-D,RA-V","25,298,681,390","3,967,877,150","117,514,859,663","89,675,734,355","493,117,720",119,0,0
267,SOE,3562683502,3085167,0.09%,2672835974,22963636,4830472182,77,46586607,0,0,0,0,0,10,4,2,0,0,0,0,"4,014,297,791","2,419,041,550",126,345,"31,511,587","11,635,646",19,22,12,16,167,SOE,"3,562,683,502","3,085,167","2,672,835,974","4,830,472,182","22,963,636",33,16,25
268,Ri-p,2555300723,60855536,2.38%,2569462045,20663327,3962821344,45,52681371,1,1,0,0,0,6,4,3,0,0,0,0,"2,760,082,337","2,220,076,432",88,267,"31,005,795","10,337,387",14,0,0,9,108,Ri-p,"2,555,300,723","60,855,536","2,569,462,045","3,962,821,344","20,663,327",12,18,15
269,TWSK,16051830113,340299504,2.12%,16676567876,142599550,29991432090,235,65964582,2,0,0,0,0,69,26,2,0,0,0,0,"16,489,011,380","13,276,263,752",331,513,"49,720,077","32,142,322",129,249,197,12,311,"TWSK,BOVH","16,051,830,113","340,299,504","16,676,567,876","29,991,432,090","142,599,550",28,45,71
270,STG!,3966330365,568392,0.01%,8835412807,43176848,9676083267,48,80595682,0,0,0,0,0,29,14,0,0,0,0,0,"4,356,858,800","3,204,536,170",103,283,"41,953,844","15,395,261",36,45,33,8,65,STG!,"3,966,330,365","568,392","8,835,412,807","9,676,083,267","43,176,848",17,11,4
271,NCB_,7540724297,384767354,5.10%,20636084695,108614941,21973434072,110,67651115,9,1,0,0,0,40,11,1,0,0,0,0,"8,607,408,500","6,850,178,127",276,591,"30,932,699","14,564,143",72,172,87,11,289,NCB_,"7,540,724,297","384,767,354","20,636,084,695","21,973,434,072","108,614,941",44,21,15
272,FRCO,10961260800,150673744,1.37%,13545574525,98743171,20991292148,148,69428148,0,0,0,0,0,48,30,6,0,0,0,0,"11,608,204,873","8,729,375,621",275,450,"42,096,854","25,796,011",77,199,129,10,249,"FRCO,frch","10,961,260,800","150,673,744","13,545,574,525","20,991,292,148","98,743,171",36,36,51
273,@273,6305607824,2590385,0.04%,9403429073,59738103,13261341375,88,67461429,0,0,0,0,0,29,14,3,1,0,0,0,"6,735,351,415","5,645,007,534",175,361,"38,284,362","18,657,483",49,108,63,11,164,@273,"6,305,607,824","2,590,385","9,403,429,073","13,261,341,375","59,738,103",18,31,18
274,Onz_,4801655672,147083,0.00%,1851677638,22605286,4719485686,90,48850724,0,0,0,0,0,5,1,0,0,0,0,0,"5,183,773,399","3,551,276,396",159,349,"32,396,662","14,853,219",19,44,37,12,177,Onz_,"4,801,655,672","147,083","1,851,677,638","4,719,485,686","22,605,286",24,39,43
275,BEST,13721805656,531497028,3.87%,28343415443,197885513,32128519884,167,79553699,10,2,0,0,0,81,49,19,7,0,0,0,"15,205,509,083","12,282,014,420",360,551,"42,116,354","27,596,205",111,238,135,14,336,"BEST,BE:1","13,721,805,656","531,497,028","28,343,415,443","32,128,519,884","197,885,513",89,30,29
276,KoV~,2373957641,6385452,0.27%,3590610949,22452936,4517298120,34,70098827,0,0,0,0,0,14,9,2,1,0,0,0,"2,728,825,887","1,622,801,226",110,341,"24,538,084","8,002,422",20,0,0,13,75,KoV~,"2,373,957,641","6,385,452","3,590,610,949","4,517,298,120","22,452,936",11,8,4
277,HogW,5328865131,179230492,3.36%,5127472422,55346506,8795543571,82,59233190,3,1,0,0,0,13,5,2,0,0,0,0,"5,647,694,824","4,537,276,901",155,334,"36,213,625","16,909,266",35,0,0,4,134,HogW,"5,328,865,131","179,230,492","5,127,472,422","8,795,543,571","55,346,506",21,30,28
278,VHS:,4607824093,703642,0.02%,3210960044,55319831,6326027171,91,47263470,0,0,0,0,0,8,4,0,0,0,0,0,"4,931,771,290","3,404,916,805",157,308,"31,252,179","16,012,244",16,58,51,13,124,VHS:,"4,607,824,093","703,642","3,210,960,044","6,326,027,171","55,319,831",23,38,39
279,MBH,1730934282,5216251,0.30%,3206978830,22159770,3437610884,26,60131553,0,0,0,0,0,5,3,3,0,0,0,0,"1,947,576,214","1,199,076,441",65,263,"29,402,867","7,405,233",10,6,4,9,44,MBH,"1,730,934,282","5,216,251","3,206,978,830","3,437,610,884","22,159,770",14,6,11
280,ToD,4416867002,2787197,0.06%,4162179268,65399332,8034934113,77,53797200,0,0,0,0,0,6,0,0,0,0,0,0,"4,680,715,494","3,438,513,467",132,336,"35,105,923","13,930,701",23,57,55,12,131,ToD,"4,416,867,002","2,787,197","4,162,179,268","8,034,934,113","65,399,332",16,18,41
281,LOM-,8071392822,221912364,2.75%,7587163308,96609390,15628500996,115,64532240,3,1,0,0,0,30,9,0,0,0,0,0,"8,749,896,361","6,992,875,930",241,460,"36,136,710","19,021,514",62,0,0,11,214,LOM-,"8,071,392,822","221,912,364","7,587,163,308","15,628,500,996","96,609,390",25,37,34
282,HE!,12792112931,10954171,0.09%,29551674624,164378923,37267835146,155,81950770,0,0,0,0,0,89,43,10,3,0,0,0,"14,564,169,154","11,406,939,549",362,597,"40,100,715","24,395,593",129,205,132,11,263,HE!,"12,792,112,931","10,954,171","29,551,674,624","37,267,835,146","164,378,923",102,15,3
283,RFF,22697119975,3734557976,16.45%,98385718444,435314455,83358607939,282,84438785,179,62,26,8,5,185,144,50,22,6,3,2,"27,267,127,034","22,118,958,396",600,600,"45,445,212","45,445,212",187,0,0,24,572,RFF,"22,697,119,975","3,734,557,976","98,385,718,444","83,358,607,939","435,314,455",275,3,2
284,RNW:,1558760269,20822294,1.34%,3581006129,21083166,3955225550,24,62890993,0,0,0,0,0,6,2,1,0,0,0,0,"1,795,897,217","1,380,760,973",67,289,"26,245,578","6,214,177",13,16,10,6,72,RNW:,"1,558,760,269","20,822,294","3,581,006,129","3,955,225,550","21,083,166",7,5,5
285,GOA~,8808100635,308128501,3.50%,7382733174,110512363,14462116611,150,56154482,7,2,0,0,0,18,10,1,0,0,0,0,"9,245,283,406","7,560,667,494",224,443,"41,083,597","20,869,714",46,0,0,10,235,GOA~,"8,808,100,635","308,128,501","7,382,733,174","14,462,116,611","110,512,363",29,37,73
286,WG:L,22583100042,3696037173,16.37%,87394856398,467022197,76146596281,228,100537008,157,66,30,15,7,178,126,40,22,10,3,1,"26,260,343,521","21,416,225,086",597,597,"43,987,175","43,987,175",189,0,0,22,559,WG:L,"22,583,100,042","3,696,037,173","87,394,856,398","76,146,596,281","467,022,197",164,6,2
287,OEV,3791725232,31988033,0.84%,2436932449,50883735,5511060256,67,51912950,0,0,0,0,0,7,3,0,0,0,0,0,"4,083,123,276","2,815,749,954",121,376,"33,414,470","10,859,370",21,0,0,10,103,OEV,"3,791,725,232","31,988,033","2,436,932,449","5,511,060,256","50,883,735",15,28,23
